,IBEX_ret,SPX_ret
2000-01-04,-0.03536397644569959,-0.03909917534093802
2000-01-05,-0.031131109756107774,0.0019203379615859075
2000-01-06,0.0,0.0009552217400569889
2000-01-07,0.02178958069087892,0.02672994972987063
2000-01-10,0.006365656518203255,0.011127824873139451
2000-01-11,-0.01450496671076111,-0.013148576788902815
2000-01-12,-0.014691013692368473,-0.004396019678609715
2000-01-13,0.007354216706625965,0.012096245165416932
2000-01-14,0.02279896402392727,0.010614763497340866
2000-01-17,0.009043366107054977,0.0
2000-01-18,-0.019623037970349522,-0.006855516976735141
2000-01-19,0.004903734452050815,0.0005221568736222691
2000-01-20,-0.006594998176072229,-0.007120612569861287
2000-01-21,-0.007112737332054205,-0.0029165681339535805
2000-01-24,-0.0013044722846837146,-0.028022584228459112
2000-01-25,-0.008387435113359145,0.006046483603040547
2000-01-26,0.015337256042232284,-0.004221619766667546
2000-01-27,0.015756996494782755,-0.003946204024482488
2000-01-28,-0.01776243322695567,-0.02784081272973308
2000-01-31,-0.015949539851848236,0.024904850529124643
2000-02-01,0.012373458235661515,0.010571740915406745
2000-02-02,0.020356467296380788,-0.00011356385074743024
2000-02-03,0.030653672625686648,0.011185347697919614
2000-02-04,0.00311362700444478,-0.00042113303572190804
2000-02-07,-0.0063499324082755245,-9.12760143166444e-05
2000-02-08,0.028106207525174686,0.01219849367259354
2000-02-09,0.008807912432360785,-0.02103511705975112
2000-02-10,0.006769587751541605,0.00362024285277645
2000-02-11,0.03370016517721189,-0.021192298989189638
2000-02-14,0.0020890946835653637,0.0020308868535491302
2000-02-15,-0.023839976331363737,0.008674947553079746
2000-02-16,0.0057376797831003015,-0.010309372816680578
2000-02-17,0.007458826798847719,0.0004250581374747612
2000-02-18,0.0033448379878753725,-0.03084710308169203
2000-02-21,-0.008746116763262647,0.0
2000-02-22,-0.01507183042183215,0.004506673481115292
2000-02-23,0.019304197544606196,0.006281139106337607
2000-02-24,0.0032435212311661245,-0.005349730316245383
2000-02-25,0.02704299465828347,-0.014940089385435541
2000-02-28,-0.017800096580063433,0.010957078745980514
2000-02-29,0.009484035037056143,0.013535073096645703
2000-03-01,-0.0037493054307947645,0.009302114728482016
2000-03-02,0.013537719157421945,0.0018617281349938522
2000-03-03,0.0027814579135149887,0.019642853797381482
2000-03-06,0.005617762863673254,-0.012776701994211102
2000-03-07,-0.01174081595585396,-0.025965297120289534
2000-03-08,8.680392948183899e-05,0.008140128606934442
2000-03-09,-0.008330881873450756,0.025279570403423504
2000-03-10,-0.003947865456980149,-0.004734054939684533
2000-03-13,-0.01238287669464154,-0.008241305233129576
2000-03-14,0.015741515007266244,-0.017843727175416074
2000-03-15,-0.022251512130856316,0.023982619773033384
2000-03-16,-0.0015158377112378075,0.04654577885905088
2000-03-17,0.008842642316268613,0.004105461314759303
2000-03-20,-0.0005983634145971745,-0.005367830413634725
2000-03-21,-0.004385828363976018,0.025244513080495853
2000-03-22,-0.011119148118810006,0.004521628609461416
2000-03-23,-0.008158300942158513,0.017642498044501166
2000-03-24,0.011570069419206727,7.200798340682352e-05
2000-03-27,-0.004250111752855048,-0.002359619652895298
2000-03-28,0.004029009664802503,-0.010641384406600805
2000-03-29,-0.010082525273094242,0.0005238551715322017
2000-03-30,-0.021336692939553478,-0.013749849620433678
2000-03-31,0.008549193610484718,0.007138762685515928
2000-04-03,-0.021049474713925265,0.004919225661762653
2000-04-04,-0.008783697262878745,-0.0074916139480272976
2000-04-05,-0.018259371147375924,-0.004936119081060472
2000-04-06,0.020303190112864803,0.009348563512982749
2000-04-07,0.015616651904769786,0.009948095294857916
2000-04-10,-0.0018590910882503027,-0.007872111321383407
2000-04-11,-0.021766934436300515,-0.002575662535388924
2000-04-12,0.0023246198338672027,-0.022522936175410978
2000-04-13,0.00906464729037369,-0.018338180821660742
2000-04-14,-0.024624151019989198,-0.060045097522022965
2000-04-17,-0.012984500073543124,0.03254811081334026
2000-04-18,0.003932620846913518,0.028260296800704302
2000-04-19,0.006928822662082138,-0.00985690838193474
2000-04-20,0.014202303628597326,0.004940641519006726
2000-04-21,0.0,0.0
2000-04-24,0.0,-0.0032677404242178448
2000-04-25,-0.006673240614477975,0.0327342935409904
2000-04-26,0.004889349880574106,-0.011196539243597151
2000-04-27,-0.018326577192118883,0.0026863820339736388
2000-04-28,0.017141393734225383,-0.008562610676304283
2000-05-01,0.0,0.010833162628904172
2000-05-02,0.034226480712435836,-0.015069531532927793
2000-05-03,-0.016936810327454616,-0.02180150116391077
2000-05-04,-0.006051963451266881,-0.0039155274882096275
2000-05-05,-0.0031608121692196694,0.016227264098328115
2000-05-08,-0.0224721263280551,-0.005922700590194449
2000-05-09,-0.020764258156699522,-0.008482924072715453
2000-05-10,-0.021859948743846946,-0.020815054047135646
2000-05-11,0.018657446908994717,0.01774410644515053
2000-05-12,0.0059893757445772106,0.009297324968961716
2000-05-15,-0.008438847774452005,0.021857137432581965
2000-05-16,0.019019883089757,0.009375105396318107
2000-05-17,-0.028511353121103918,-0.012519718264096237
2000-05-18,-0.0014407236488198423,-0.007341489575181015
2000-05-19,-0.03216583393693837,-0.021279500834297728
2000-05-22,-0.020948369330174334,-0.004437836972822325
2000-05-23,0.005196459364742063,-0.019362083559102846
2000-05-24,-0.0036384895090604604,0.018169184098520846
2000-05-25,0.02087809108346225,-0.012609113327974117
2000-05-26,-0.011763341230466295,-0.002536655984128445
2000-05-29,0.011602426390413943,0.0
2000-05-30,0.008449902545194348,0.031733002241273844
2000-05-31,0.003749363747054662,-0.0013014022930985239
