Date,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2012-02-03,0.0100832202868629,0.0144997259481076,0.18384053496058717,0.08689955486810691,1.0155970431544374,0.9793888738875342,2.115552090452176,1.0369701660211643,-0.5451143938405203,-0.3368006382345624,0.7136683776120597,0.880681304184518,0,0,0,0,,
2012-02-06,-0.0029271816286729,-0.0004239640135311,0.1828486793074472,0.08560880291469826,1.0651529923334642,1.029139199497714,2.1358630547566473,1.034994092979188,-0.5464459266300181,-0.3370818108977477,0.7146967362158959,0.8739441121079228,0,0,0,0,,
2012-02-07,0.0013121216823744,0.0020213375254701,0.18225482278079663,0.08562321098605585,1.0316501981110544,0.9829931504592028,2.128567951165458,1.049498867442893,-0.5458508084962201,-0.33574182948579867,0.7147615463656714,0.8814294489460754,0,0,0,0,,
2012-02-08,0.0002711787201916,0.002157880933325,0.16664071028374505,0.0823014395080884,1.0802463332522934,1.0117593092889745,2.024760578669684,1.0676910242728075,-0.545727652899692,-0.3343084394448408,0.7202278785384947,0.8833240531133569,0,0,0,0,,
2012-02-09,0.0059488281965283,0.0014730251258786,0.16462072115002685,0.08205189837917634,1.1343800493540526,1.0786705564339352,2.006299968701338,1.0516464388388351,-0.5430252647523586,-0.3333278590500577,0.706879703990849,0.8833057685557405,0,0,0,0,,
2012-02-10,-0.0118650945516261,-0.0069101226436161,0.1724489683555921,0.08825221451197429,1.10118451942363,1.0339226226427531,1.9540469245923995,1.065055058577742,-0.5484473131937762,-0.33793464530710393,0.7043600317429317,0.8715147847996831,0,0,0,0,,
2012-02-13,-0.0010008091384198,0.0067770233264973,0.17278633149484035,0.08615992439355165,1.1543928555181024,0.9995777762590868,2.005414149455451,1.1548804734719194,-0.5488992312492099,-0.3334478129546845,0.7153041986602229,0.8686141874188259,0,0,0,0,,
2012-02-14,-0.0018677959321579,-0.0009399650039259,0.17060068447112745,0.08681932847113345,1.153939665450443,0.9818474253754206,1.9650081090854146,1.1752739128579177,-0.5497417954300758,-0.3340743486837974,0.7444735448471446,0.8683125851350613,0,0,0,0,,
2012-02-15,-0.0034602839976793,-0.0053977475362166,0.16250571558750823,0.08404685155584743,1.1888140413595911,1.0159531731292617,1.9335134223264328,1.1701464917894755,-0.551299816690173,-0.3376688472274929,0.7537344335670988,0.9044928592260113,0,0,0,0,,
2012-02-16,-0.0212150588911716,0.0109653658332769,0.1647701864731303,0.08999950070767936,1.1487086373405262,1.0128980230381592,1.8307900063613465,1.134081231489629,-0.5608190175035704,-0.33040614383456635,0.7193558655352426,0.9041761896583173,1,0,0,0,-0.24725236305523457,
2012-02-17,0.0114900967107033,0.0023461758829402,0.168884745896869,0.08995907979019108,1.2301016761676444,0.9882784516294312,1.87735074981596,1.2446913864604712,-0.5557727855411849,-0.3288351588778662,0.6959736961192433,0.8972536859435055,0,0,0,0,,
