Model,Index,MAE,RMSE
ARIMA,IBEX 35,0.005873611948796086,0.007623573159885834
Prophet,IBEX 35,0.005795070882379666,0.007727185394858541
ARIMA,S&P 500,0.007436721752887213,0.007558960910199604
Prophet,S&P 500,0.007647436804555663,0.007698619984151523
