,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2000-01-04,-0.0353639764456995,-0.039099175340938,,,1.7658300587268996,1.6011634921831766,,1.102841819306785,0.0,0.0,,,1,1,0,0,-1.0069322813787336,-1.3793953605417442
2000-01-05,-0.0311311097561077,0.0019203379615859,,,1.9870234238581577,1.958629761687961,,1.014496696989699,-0.031131109756107667,0.0,,,1,0,0,0,-0.4298940944199221,
2000-01-06,0.0,0.0009552217400569,,,2.1387928723366048,1.7875885712429609,,1.1964681956147447,-0.031131109756107667,0.0,,,0,0,0,0,,
2000-01-07,0.0217895806908789,0.0267299497298706,,,1.975585249209437,1.6244893983705726,,1.2161268957439966,-0.01001986289325607,0.0,,,0,0,0,0,,
2000-01-10,0.0063656565182032,0.0111278248731394,,,2.020956510326265,1.7862104450949454,,1.1314212812247002,-0.0037179893805908693,0.0,,,0,0,0,0,,
2000-01-11,-0.0145049667107611,-0.0131485767889028,,,1.9150398524982415,1.737152424739565,,1.1024017381694904,-0.01816902677915555,-0.0131485767889028,,,0,0,0,0,,
2000-01-12,-0.0146910136923684,-0.0043960196786097,,,1.907350384374078,1.735610751201792,,1.0989505469779834,-0.03259311905033435,-0.017486795065202676,,,0,0,0,0,,
2000-01-13,0.0073542167066259,0.0120962451654169,,,1.9021915092082484,1.6331720270672505,,1.164722073169528,-0.025478599204349472,-0.005602074460051787,,,0,0,0,0,,
2000-01-14,0.0227989640239272,0.0106147634973408,,,1.816415729311508,1.6122636699340158,,1.126624486543102,-0.003260520847062187,0.0,,,0,0,0,0,,
2000-01-17,0.0090433661070549,0.0,,,1.8876735340272623,1.5763153815037014,,1.1975227522214151,0.0,0.0,,,0,0,0,0,,
2000-01-18,-0.0196230379703495,-0.0068555169767351,,,1.818925755920645,1.4422242856597238,,1.2611947905790568,-0.019623037970349477,-0.006855516976735143,,,0,0,0,0,,
2000-01-19,0.0049037344520508,0.0005221568736222,,,1.870669555508918,1.399145093355188,,1.3370089809792358,-0.0148155296856477,-0.00633693975842442,,,0,0,0,0,,
2000-01-20,-0.0065949981760722,-0.0071206125698612,,,1.765291757708065,1.2778507736497935,,1.3814537613543434,-0.021312819470465594,-0.01341242943538734,,,0,0,0,0,,
2000-01-21,-0.0071127373320542,-0.0029165681339535,,,1.696703793936868,1.2553087670581504,,1.3516226752029612,-0.028273964315820854,-0.01628987930505066,,,0,0,0,0,,
2000-01-24,-0.0013044722846837,-0.0280225842284591,,,1.6392364087811184,1.1868647788014108,,1.3811484156068292,-0.02954155399767644,-0.04385597901861249,,,0,1,0,0,,-0.6235810222730036
2000-01-25,-0.0083874351133591,0.0060464836030405,,,1.5335259262124976,1.447801667490561,,1.0592099461181865,-0.03768121124373236,-0.038074669873603306,,,0,0,0,0,,
2000-01-26,0.0153372560422322,-0.0042216197666675,,,1.502952385253304,1.376999073361626,,1.0914694238567584,-0.022921881586326687,-0.04213555286132309,,,0,0,0,0,,
2000-01-27,0.0157569964947827,-0.0039462040244824,,,1.5302987403707462,1.3106678706478336,,1.1675717202210458,-0.007526065099353385,-0.04591548139753032,,,0,0,0,0,,
2000-01-28,-0.0177624332269556,-0.027840812729733,,,1.5592026092895577,1.2481327676275047,,1.2492281668506673,-0.025154817097519988,-0.07247796980827925,,,0,1,0,0,,-0.5498779160753613
2000-01-31,-0.0159495398518482,0.0249048505291246,0.2627956465988392,0.2597997853898259,1.6177347287470425,1.4972813085623613,1.0115314229552501,1.0804480891438741,-0.04070314919160534,-0.0493781722838843,,,0,0,0,0,,
2000-02-01,0.0123734582356615,0.0105717409154067,0.23951496231613373,0.2233290150766487,1.6525672308364716,1.651212956380796,1.0724757919786188,1.0008201694702323,-0.028833329672526053,-0.0393284446127391,,,0,0,0,0,,
2000-02-02,0.0203564672963807,-0.0001135638507474,0.2229545106166482,0.22325614474982206,1.6371353926139312,1.610514709418881,0.9986489324470247,1.0165293014955794,-0.00906380710866983,-0.0394375421738723,,,0,0,0,0,,
2000-02-03,0.0306536726256866,0.0111853476979196,0.24560643374382793,0.2266131366886894,1.701566473695373,1.4740582382751344,1.083813751191444,1.1543414157682514,0.0,-0.028693317097518878,,,0,0,0,0,,
2000-02-04,0.0031136270044447,-0.0004211330357219,0.23543308151252465,0.20478913576631336,1.865808371624236,1.4598440155677372,1.1496365792625804,1.2780874886133764,0.0,-0.029102366429506588,,,0,0,0,0,,
2000-02-07,-0.0063499324082755,-9.12760143166444e-05,0.23670514128990655,0.2000882245077597,1.7446040606784854,1.3425445340706372,1.1830038567848193,1.299475746542866,-0.006349932408275527,-0.029190986095808502,,,0,0,0,0,,
2000-02-08,0.0281062075251746,0.0121984936725935,0.24667768617131572,0.200170412719341,1.6756365069768222,1.2337801587487804,1.2323384001669746,1.3581321559556798,0.0,-0.017348578482401567,,,0,0,0,0,,
2000-02-09,0.0088079124323607,-0.0210351170597511,0.23749816533443907,0.21341353208489627,1.8157678397351995,1.2578443551511354,1.1128542928569398,1.4435552636534488,0.0,-0.038018766162955187,,,0,0,0,0,,
2000-02-10,0.0067695877515416,0.0036202428527764,0.23742304645254192,0.20873063981358983,1.751495273793509,1.4116292227738565,1.1374614031968489,1.2407615580186238,0.0,-0.034536160476651645,,,0,0,0,0,,
2000-02-11,0.0337001651772118,-0.0211922989891896,0.25117155536194496,0.21539007511025382,1.674194647651594,1.3173945655780144,1.1661240901344936,1.2708376756640343,0.0,-0.05499655882708143,,,0,0,0,0,,
2000-02-14,0.0020890946835653,0.0020308868535491,0.2510069149420262,0.21585242260221107,1.87410675583886,1.4657136529061476,1.162863552403118,1.2786308922776082,0.0,-0.0530773637618448,,,0,0,0,0,,
2000-02-15,-0.0238399763313637,0.0086749475530797,0.2568591378955799,0.2188436892247731,1.7428968824704705,1.3483126627759927,1.173710509110278,1.2926503848759252,-0.0238399763313637,-0.044862859555654944,,,0,0,0,0,,
2000-02-16,0.0057376797831003,-0.0103093728166805,0.25688353220459836,0.2206509789809577,1.8448148594898,1.318199077523741,1.1642075344101126,1.3994963969746628,-0.018239082698489506,-0.05470972442755384,,,0,0,0,0,,
2000-02-17,0.0074588267988477,0.0004250581374747,0.2534542794596316,0.2201348947713555,1.7494484319856145,1.329121420733924,1.151358941629329,1.3162442533050076,-0.010916298058459617,-0.05430792110364602,,,0,0,0,0,,
2000-02-18,0.0033448379878753,-0.030847103081692,0.24924769561067175,0.24279854915660745,1.678723203443761,1.2160991995881674,1.0265617174256858,1.3804163377562138,-0.007607973319017192,-0.08347978214490148,,,0,1,0,0,,-0.8793639396993025
2000-02-21,-0.0087461167632626,0.0,0.25350383519171893,0.22484853169708136,1.5766267430197654,1.513911510696103,1.1274426978835794,1.0414259564581985,-0.016287549859300032,-0.08347978214490148,,,0,0,0,0,,
2000-02-22,-0.0150718304218321,0.0045066734811152,0.2594462927287575,0.2241814851836618,1.5455247091284423,1.386366464591491,1.1573047279805684,1.1148024339898102,-0.031113897091665565,-0.07934932478418788,,,0,0,0,0,,
2000-02-23,0.0193041975446061,0.0062811391063376,0.26185389841195156,0.2259529747748039,1.5785650003754756,1.3046538814338131,1.1588867049567653,1.2099492615164986,-0.012410328362899792,-0.07356658982481379,,,0,0,0,0,,
2000-02-24,0.0032435212311661,-0.0053497303162453,0.2591010407178508,0.22620353447461705,1.638142444540113,1.251527853495758,1.1454332104917895,1.3089140924546474,-0.009207060295264524,-0.07852275872521053,,,0,0,0,0,,
2000-02-25,0.0270429946582834,-0.0149400893854355,0.2559933892117473,0.21047306878517352,1.5387785158697809,1.2111888026544286,1.2162762233159419,1.2704695688214835,0.0,-0.09228971107650041,,,0,0,0,0,,
2000-02-28,-0.0178000965800634,0.0109570787459805,0.2582781186014074,0.19278903223638183,1.682134718527072,1.291224765372599,1.339693008494012,1.3027435374829348,-0.01780009658006343,-0.08234385796222887,,,0,0,0,0,,
2000-02-29,0.0094840350370561,0.0135350730966457,0.2576859640961768,0.19555637207812573,1.729111340610633,1.29411394254382,1.3177068144485211,1.3361353152657836,-0.008484878282635444,-0.06992331500216176,,,0,0,0,0,,
2000-03-01,-0.0037493054307947,0.009302114728482,0.25514735644041864,0.19929043463232501,1.679174187072779,1.3278164492792033,1.2802789903647167,1.2646131835347483,-0.01220237131320534,-0.0612716349720257,,,0,0,0,0,,
2000-03-02,0.0135377191574219,0.0018617281349938,0.2396788689421526,0.19437111808610136,1.5921483679708477,1.3072096317200237,1.2330991934510613,1.2179747833374683,0.0,-0.05952397796373643,,,0,0,0,0,,
2000-03-03,0.0027814579135149,0.0196428537973814,0.23971293279726397,0.20844117942535248,1.5935607968693868,1.2043465514294769,1.1500267531498525,1.3231746252587673,0.0,-0.04105034496293525,,,0,0,0,0,,
2000-03-06,0.0056177628636732,-0.0127767019942111,0.23607129190818618,0.21289791636352567,1.4939961587438826,1.3256931825427922,1.1088473571770034,1.1269546969218556,0.0,-0.05330255893279534,,,0,0,0,0,,
2000-03-07,-0.0117408159558539,-0.0259652971202895,0.22743312152708664,0.22392603106012002,1.42930728656867,1.3657320716577932,1.0156618256946868,1.0465502833463565,-0.011740815955853856,-0.07788383927312315,,,0,1,0,0,,-0.2594417331870815
2000-03-08,8.680392948183899e-05,0.0081401286069344,0.22678792716854698,0.216728845930905,1.4405166690758833,1.5720508957581676,1.0464132090697742,0.9163295367616912,-0.011655031175332287,-0.07037769513427372,,,0,0,0,0,,
2000-03-09,-0.0083308818734507,0.0252795704034235,0.22974096953536288,0.23641743442774757,1.3398845779051984,1.5118777642316,0.9717598454253377,0.8862386957494439,-0.019888816360829842,-0.04687724262982784,,,0,0,0,0,,
2000-03-10,-0.0039478654569801,-0.0047340549396845,0.19796276168746202,0.22425134627589938,1.326260975647823,1.6688830696298034,0.8827717869925553,0.7946997604463794,-0.023758163446718772,-0.05138937812748179,,,0,0,0,0,,
2000-03-13,-0.0123828766946415,-0.0082413052331295,0.2028570864892208,0.22614745203842473,1.272503967573696,1.5774064469919071,0.8970124786316555,0.8067064579331116,-0.03584684573290853,-0.05920716780972202,,,0,0,0,0,,
2000-03-14,0.0157415150072662,-0.017843727175416,0.19047031048860713,0.23182078631425984,1.3044903749230563,1.5358328781776172,0.8216274024297486,0.8493700020740106,-0.020669614385710022,-0.07599441843591237,,,0,0,0,0,,
2000-03-15,-0.0222515121308563,0.0239826197730333,0.20751692400989,0.246157079163457,1.3545452013195258,1.6145930432413682,0.8430264313954239,0.8389390794105092,-0.042461196341322505,-0.053834343905100446,,,1,0,0,0,-0.009756906695353784,
2000-03-16,-0.0015158377112378,0.0465457788590508,0.20578039191877595,0.2961727970925493,1.4796845303827848,1.7419220679045984,0.6947984215257719,0.849455068999002,-0.04391266976988173,-0.009794326512478468,,,0,0,0,0,,
2000-03-17,0.0088426423162686,0.0041054613147593,0.20797413990811722,0.2687453642146452,1.3901023563108517,2.162792138283163,0.7738706136043695,0.6427350699611488,-0.03545833148554056,-0.005729075426320285,,,0,0,0,0,,
2000-03-20,-0.0005983634145971,-0.0053678304136347,0.2054211172332836,0.2705313563211269,1.3649327832588518,1.993324947200964,0.7593246122251501,0.6847517687346946,-0.03603547793183404,-0.011066153134639545,,,0,0,0,0,,
2000-03-21,-0.004385828363976,0.0252445130804958,0.19810813179060394,0.28091694550315655,1.277092872274458,1.873774112295637,0.7052195852256904,0.6815618082746587,-0.0402632608745872,0.0,,,0,0,0,0,,
2000-03-22,-0.01111914811881,0.0045216286094614,0.18998976702510298,0.28087852938125824,1.2317086325628404,1.9853962392013575,0.67641256682605,0.6203842881551471,-0.05093471583198628,0.0,,,0,0,0,0,,
2000-03-23,-0.0081583009421585,0.0176424980445011,0.19125917324606456,0.2816121417797023,1.2549359740449073,1.8399346455105947,0.6791581216540071,0.6820546464011247,-0.05867747603398399,0.0,,,0,0,0,0,,
2000-03-24,0.0115700694192067,7.200798340682352e-05,0.1674165263245661,0.27164046240094225,1.2472424971367366,1.861811514446444,0.6163166004240515,0.6699080371234938,-0.047786309085834366,0.0,,,0,0,0,0,,
2000-03-27,-0.004250111752855,-0.0023596196528952,0.15694718539896382,0.27304359192540034,1.2612083824508835,1.6965606943247284,0.5748063314441167,0.7433912542414962,-0.05183332368481819,-0.0023596196528951063,0.06354913647079778,,0,0,0,0,,
2000-03-28,0.0040290096648025,-0.0106413844066008,0.15315286501041542,0.27779155741077205,1.215941423908164,1.5756364843589503,0.5513229647362802,0.771714437929426,-0.04801315098210057,-0.01297589443971603,-0.04963917392476546,,0,0,0,0,,
2000-03-29,-0.0100825252730942,0.0005238551715322,0.15600377570688728,0.27770273532525197,1.1609283399679502,1.5623358770521496,0.5617653550447459,0.7430721889062778,-0.05761158244697684,-0.012458836757591296,-0.04911410881824248,,0,0,0,0,,
2000-03-30,-0.0213366929395534,-0.0137498496204336,0.15952139329177972,0.28508708926958715,1.1803497695567386,1.42401761099093,0.5595532007446727,0.8288870590128233,-0.07771903474209729,-0.02603737924616245,-0.01997558150695108,,1,0,0,0,-0.06562591606297685,
2000-03-31,0.0085491936104847,0.0071387626855159,0.16382377681310864,0.27920779578085175,1.3138250856005929,1.4649412812699576,0.5867449952640033,0.8968448786299734,-0.0698342762068429,-0.019084491232037704,-0.061778725105828866,,0,0,0,0,,
2000-04-03,-0.0210494747139252,0.0049192256617626,0.1717621233415681,0.2728760134831121,1.292672097095923,1.4047474708987162,0.629451160434071,0.920216710743682,-0.0894137760895869,-0.014259146489285501,-0.07341930486322096,,0,0,0,0,,
2000-04-04,-0.0087836972628787,-0.0074916139480272,0.17045107951828695,0.25317293531904866,1.4114656980681424,1.325746219199797,0.6732594829043808,1.0646575322086036,-0.09741208981216387,-0.021643936416586573,-0.08540605067950209,,0,0,0,0,,
2000-04-05,-0.0182593711473759,-0.0049361190810604,0.17628823849275577,0.2551894722945616,1.3957340935335445,1.3024636352827876,0.6908131315435644,1.0716107964354078,-0.11389277745741788,-0.026473218450111857,-0.08257098107108826,,0,0,0,0,,
2000-04-06,0.0203031901128648,0.0093485635129827,0.19791818570991737,0.243771145789168,1.4752294828347614,1.252060631179114,0.8119016098857418,1.1782412497432178,-0.09590197405775325,-0.017372141501203253,-0.07370853898654174,,0,0,0,0,,
2000-04-07,0.0156166519047697,0.0099480952948579,0.2097566530747818,0.24281546631638698,1.5550250014723757,1.2400594513957826,0.8638521106454984,1.2539922982902756,-0.08178298989882371,-0.007596865925475038,-0.08141094189328109,,0,0,0,0,,
2000-04-10,-0.0018590910882503,-0.0078721113213834,0.20680262783444336,0.24256862663566056,1.5802103899720166,1.236429825065885,0.8525530721046711,1.2780429248281946,-0.08349003895938278,-0.015409173872599546,-0.07918742440261357,,0,0,0,0,,
2000-04-11,-0.0217669344363005,-0.0025756625353889,0.20589883504963843,0.22990083501633818,1.4848171452391177,1.2271125458668144,0.8955984654644946,1.2100089353990464,-0.10343965119157017,-0.017945147576143516,-0.08572092671306583,,0,0,0,0,,
2000-04-12,0.0023246198338672,-0.0225229361754109,0.19575037313203078,0.23796247878363302,1.5915742481138495,1.1577298041520994,0.8226102456682529,1.3747372162362963,-0.10135548922247128,-0.04006390633803858,-0.08721707504530063,,0,1,0,0,,-0.10052329008349004
2000-04-13,0.0090646472903736,-0.0183381808216607,0.20043045489394487,0.1846000581283894,1.4880480570122308,1.3448750926286746,1.085755101737538,1.1064581872088302,-0.09320959369284265,-0.05766738800085025,-0.10278005089507639,,0,0,0,0,,
