SPX,Vol_SPX,RSI_SPX,MACD_SPX,Momentum_SPX,SPX_lag1,SPX_lag2,SPX_lag3,Vol_SPX_lag1,Vol_SPX_lag2,Vol_SPX_lag3,MACD_SPX_lag1,MACD_SPX_lag2,MACD_SPX_lag3,Momentum_SPX_lag1,Momentum_SPX_lag2,Momentum_SPX_lag3,direction
0.0062811391063376,1.1421552127175232,48.95616946011042,-0.0001960063275147,0.0165905119230181,0.0045066734811152,-0.030847103081692,0.0004250581374747,1.1773130615653526,1.1027766827997474,1.1528455358247491,-0.0009678913325098,-0.0029818126370232,-0.0012486907245732,-0.0041682740719645,-0.0096548040925024,-0.0031951847153017,0
-0.0053497303162453,1.1187114108810023,48.95108737587703,-0.0004640909826332,-0.00577478845372,0.0062811391063376,0.0045066734811152,-0.030847103081692,1.1421552127175232,1.1773130615653526,1.1027766827997474,-0.0001960063275147,-0.0009678913325098,-0.0029818126370232,0.0165905119230181,-0.0041682740719645,-0.0096548040925024,0
-0.0149400893854355,1.1005358032976156,46.95968887551105,-0.0012386766715656,0.0159070136962565,-0.0053497303162453,0.0062811391063376,0.0045066734811152,1.1187114108810023,1.1421552127175232,1.1773130615653526,-0.0004640909826332,-0.0001960063275147,-0.0009678913325098,-0.00577478845372,0.0165905119230181,-0.0041682740719645,1
0.0109570787459805,1.1362541108690338,49.759234961167785,-2.256805887941192e-05,0.0109570787459805,-0.0149400893854355,-0.0053497303162453,0.0062811391063376,1.1005358032976156,1.1187114108810023,1.1421552127175232,-0.0012386766715656,-0.0004640909826332,-0.0001960063275147,0.0159070136962565,-0.00577478845372,0.0165905119230181,1
0.0135350730966457,1.1375528776961907,57.60952774287665,0.0008893949972282,0.0090283996155305,0.0109570787459805,-0.0149400893854355,-0.0053497303162453,1.1362541108690338,1.1005358032976156,1.1187114108810023,-2.256805887941192e-05,-0.0012386766715656,-0.0004640909826332,0.0109570787459805,0.0159070136962565,-0.00577478845372,1
0.009302114728482,1.1522807517001608,51.37423663886679,0.0011262326984094,0.0030209756221444,0.0135350730966457,0.0109570787459805,-0.0149400893854355,1.1375528776961907,1.1362541108690338,1.1005358032976156,0.0008893949972282,-2.256805887941192e-05,-0.0012386766715656,0.0090283996155305,0.0109570787459805,0.0159070136962565,1
0.0018617281349938,1.1433382984045848,56.08747819426404,0.0007202419944865,0.0072114584512391,0.009302114728482,0.0135350730966457,0.0109570787459805,1.1522807517001608,1.1375528776961907,1.1362541108690338,0.0011262326984094,0.0008893949972282,-2.256805887941192e-05,0.0030209756221444,0.0090283996155305,0.0109570787459805,1
0.0196428537973814,1.0975058396717663,54.788096492771366,0.0015405580163906,0.0345829431828169,0.0018617281349938,0.009302114728482,0.0135350730966457,1.1433382984045848,1.1522807517001608,1.1375528776961907,0.0007202419944865,0.0011262326984094,0.0008893949972282,0.0072114584512391,0.0030209756221444,0.0090283996155305,0
-0.0127767019942111,1.1514159735271567,44.88490311407727,-0.0001207044406321,-0.0237337807401916,0.0196428537973814,0.0018617281349938,0.009302114728482,1.0975058396717663,1.1433382984045848,1.1522807517001608,0.0015405580163906,0.0007202419944865,0.0011262326984094,0.0345829431828169,0.0072114584512391,0.0030209756221444,0
-0.0259652971202895,1.1686273524760404,46.16076587317028,-0.0020227359965002,-0.0395003702169352,-0.0127767019942111,0.0196428537973814,0.0018617281349938,1.1514159735271567,1.0975058396717663,1.1433382984045848,-0.0001207044406321,0.0015405580163906,0.0007202419944865,-0.0237337807401916,0.0345829431828169,0.0072114584512391,1
0.0081401286069344,1.2536721349016515,51.69737439663936,-0.0009531651740401,-0.0011619861215476,-0.0259652971202895,-0.0127767019942111,0.0196428537973814,1.1686273524760404,1.1514159735271567,1.0975058396717663,-0.0020227359965002,-0.0001207044406321,0.0015405580163906,-0.0395003702169352,-0.0237337807401916,0.0345829431828169,1
0.0252795704034235,1.2294940735131792,63.16710801229106,0.0008423227771655,0.0234178422684297,0.0081401286069344,-0.0259652971202895,-0.0127767019942111,1.2536721349016515,1.1686273524760404,1.1514159735271567,-0.0009531651740401,-0.0020227359965002,-0.0001207044406321,-0.0011619861215476,-0.0395003702169352,-0.0237337807401916,0
-0.0047340549396845,1.291717577126242,48.885048241573685,-1.243933466823664e-05,-0.0243769087370658,0.0252795704034235,0.0081401286069344,-0.0259652971202895,1.2294940735131792,1.2536721349016515,1.1686273524760404,0.0008423227771655,-0.0009531651740401,-0.0020227359965002,0.0234178422684297,-0.0011619861215476,-0.0395003702169352,0
-0.0082413052331295,1.25583587900568,46.98342979312694,-0.0007919155161053,0.0045353967610816,-0.0047340549396845,0.0252795704034235,0.0081401286069344,1.291717577126242,1.2294940735131792,1.2536721349016515,-1.243933466823664e-05,0.0008423227771655,-0.0009531651740401,-0.0243769087370658,0.0234178422684297,-0.0011619861215476,0
-0.017843727175416,1.23917679678822,44.49523638647025,-0.0018705171849938,0.0081215699448734,-0.0082413052331295,-0.0047340549396845,0.0252795704034235,1.25583587900568,1.291717577126242,1.2294940735131792,-0.0007919155161053,-1.243933466823664e-05,0.0008423227771655,0.0045353967610816,-0.0243769087370658,0.0234178422684297,1
0.0239826197730333,1.2705061452453743,55.88240769222099,0.0002062643380512,0.0158424911660989,-0.017843727175416,-0.0082413052331295,-0.0047340549396845,1.23917679678822,1.25583587900568,1.291717577126242,-0.0018705171849938,-0.0007919155161053,-1.243933466823664e-05,0.0081215699448734,0.0045353967610816,-0.0243769087370658,1
