,RSI_IBEX,MACD_IBEX,Momentum_IBEX,Volatility_IBEX,RSI_SPX,MACD_SPX,Momentum_SPX,Volatility_SPX
2000-01-04,,0.0,,,,0.0,,
2000-01-05,,0.00027013166338135663,,,,0.0026177695099046604,,
2000-01-06,,0.0024113832204861684,,,,0.004053751031917778,,
2000-01-07,,0.005011517940926928,,,,0.006370969283752449,,
2000-01-10,,0.005376667173565506,,,,0.006463962423157987,,
2000-01-11,,0.003961978953791699,0.020859009734938403,,,0.004589674739552229,0.0259505985520352,
2000-01-12,,0.002816894575872241,0.0164400960637393,,,0.003677956996187297,-0.0063163576401955995,
2000-01-13,,0.0033131477917603385,0.0073542167066259,,,0.0039029004521658923,0.011141023425359999,
2000-01-14,,0.004383366455517357,0.0010093833330482999,,,0.003672551207383053,-0.0161151862325298,
2000-01-17,,0.0038837445173032364,0.0026777095888517004,,,0.0025776734098795686,-0.0111278248731394,
2000-01-18,,0.0014659432560683982,-0.005118071259588401,,,0.0012323524591258996,0.0062930598121676996,
2000-01-19,,0.00136393256786186,0.0195947481444192,,,0.0007061027458035562,0.0049181765522319,
2000-01-20,,0.0004165898669579275,-0.0139492148826981,,,-0.000239361055891011,-0.0192168577352781,
2000-01-21,,-0.000311097435696437,-0.0299117013559814,,,-0.0006414358141315496,-0.013531331631294299,
2000-01-24,57.887882443878944,-0.0004585425557656238,-0.0103478383917386,,52.82328465734242,-0.0025508850513420046,-0.0280225842284591,
2000-01-25,55.1986079933501,-0.001056216735666156,0.011235602856990401,,51.0903353241855,-0.001522801329649665,0.0129020005797756,
2000-01-26,53.628551242539004,6.372513680761444e-05,0.010433521590181398,,48.69612473679287,-0.0015334466203899616,-0.0047437766402897,
2000-01-27,48.412239493409885,0.0007141135198548004,0.0223519946708549,,41.13499229873907,-0.0015182312956967536,0.0031744085453788004,
2000-01-28,44.20184563677833,-0.0011314457228583253,-0.0106496958949014,,39.25362905304347,-0.0030266187891374134,-0.0249242445957795,
2000-01-31,49.61785650318912,-0.0021872642067501313,-0.014645067567164499,0.2627956465988392,59.06984387530296,-0.0005129974594521702,0.0529274347575837,0.2597997853898259
2000-02-01,56.231854703534175,-0.0009959425653783714,0.0207608933490206,0.23951496231613373,53.47504780135338,0.0001101315461400805,0.004525257312366199,0.2233290150766487
2000-02-02,53.201200405331505,0.0002456112959618763,0.005019211254148502,0.2229545106166482,47.08670894807039,-0.00025178549286834686,0.0041080559159200995,0.22325614474982206
2000-02-03,51.98414919248438,0.00160069223628782,0.0148966761309039,0.24560643374382793,50.13005007062473,0.0001914171762482774,0.015131551722402,0.2266131366886894
2000-02-04,48.599632957420106,0.0005375609059401296,0.0208760602314003,0.23543308151252465,49.90444547517144,-0.0003461850383642828,0.0274196796940111,0.20478913576631336
2000-02-07,53.447236753936956,-0.0008331540162128817,0.009599607443572699,0.23670514128990655,51.581634639194824,-0.0007078165405204635,-0.024996126543441244,0.2000882245077597
2000-02-08,55.730493876328204,0.00047995030077265487,0.015732749289513098,0.24667768617131572,52.668887691701414,-0.00017532874546922605,0.0016267527571867998,0.200170412719341
2000-02-09,53.66305167091311,-2.5190942501026464e-05,-0.01154855486402,0.23749816533443907,47.152634327955724,-0.0020151343647719557,-0.0209215532090037,0.21341353208489627
2000-02-10,53.27772702691858,-0.0005419445344872677,-0.023884084874145,0.23742304645254192,51.234332756537086,-0.0015464701203303831,-0.007565104845143201,0.20873063981358983
2000-02-11,57.51527688485185,0.0008110754125257354,0.0305865381727671,0.25117155536194496,51.29117994860909,-0.0028088710476220527,-0.020771165953467702,0.21539007511025382
2000-02-14,52.03492580497266,-0.0004727341623071892,0.0084390270918408,0.2510069149420262,49.20844346347881,-0.0020181630397104857,0.0021221628678657445,0.21585242260221107
2000-02-15,42.45495795921991,-0.002978268588923763,-0.0519461838565383,0.2568591378955799,52.57902584989422,-0.0010354975798814075,-0.003523546119513799,0.2188436892247731
2000-02-16,48.26523527289933,-0.0025691145009338265,-0.0030702326492604006,0.25688353220459836,48.81609642712125,-0.0016172131540329896,0.010725744243070599,0.2206509789809577
2000-02-17,54.907203762590946,-0.002126420453445564,0.0006892390473060995,0.2534542794596316,55.52982356267779,-0.0012486907245732454,-0.0031951847153017,0.2201348947713555
2000-02-18,53.720716607773475,-0.0020534491567832836,-0.0303553271893365,0.24924769561067175,38.09243610321484,-0.0029818126370232435,-0.009654804092502401,0.24279854915660745
2000-02-21,45.65532108286474,-0.0027204292982252265,-0.0108352114468279,0.25350383519171893,47.89085800959919,-0.001970248912955321,-0.0020308868535491,0.22484853169708136
2000-02-22,42.661720153731196,-0.003442107838152312,0.008768145909531599,0.2594462927287575,50.94507165467704,-0.0009678913325098012,-0.004168274071964501,0.2241814851836618
2000-02-23,47.86240156640438,-0.0015549033691374561,0.0135665177615058,0.26185389841195156,48.95616946011042,-0.0001960063275147578,0.0165905119230181,0.2259529747748039
2000-02-24,50.02557041396155,-0.0013466406478052442,-0.0042153055676816,0.2591010407178508,48.95108737587703,-0.0004640909826332195,-0.00577478845372,0.22620353447461705
2000-02-25,56.2223823261027,0.0003452273388945843,0.023698156670408102,0.2559933892117473,46.95968887551105,-0.0012386766715656082,0.0159070136962565,0.21047306878517352
2000-02-28,41.764682884274784,-0.001503095110166023,-0.0090539798168008,0.2582781186014074,49.759234961167785,-2.2568058879411917e-05,0.0109570787459805,0.19278903223638183
2000-02-29,50.117913866984516,-0.0008670315043947281,0.0245558654588882,0.2576859640961768,57.60952774287665,0.0008893949972282899,0.009028399615530501,0.19555637207812573
