,Date,SPX
0,2000-01-03,1455.219970703125
1,2000-01-04,1399.4200439453125
2,2000-01-05,1402.1099853515625
3,2000-01-06,1403.449951171875
4,2000-01-07,1441.469970703125
5,2000-01-10,1457.5999755859375
6,2000-01-11,1438.56005859375
7,2000-01-12,1432.25
8,2000-01-13,1449.6800537109375
9,2000-01-14,1465.1500244140625
10,2000-01-18,1455.1400146484375
11,2000-01-19,1455.9000244140625
12,2000-01-20,1445.5699462890625
13,2000-01-21,1441.3599853515625
14,2000-01-24,1401.530029296875
15,2000-01-25,1410.030029296875
16,2000-01-26,1404.0899658203125
17,2000-01-27,1398.56005859375
18,2000-01-28,1360.1600341796875
19,2000-01-31,1394.4599609375
20,2000-02-01,1409.280029296875
21,2000-02-02,1409.1199951171875
22,2000-02-03,1424.969970703125
23,2000-02-04,1424.3699951171875
24,2000-02-07,1424.239990234375
25,2000-02-08,1441.719970703125
26,2000-02-09,1411.7099609375
27,2000-02-10,1416.8299560546875
28,2000-02-11,1387.1199951171875
29,2000-02-14,1389.93994140625
30,2000-02-15,1402.050048828125
31,2000-02-16,1387.6700439453125
32,2000-02-17,1388.260009765625
33,2000-02-18,1346.0899658203125
34,2000-02-22,1352.1700439453125
35,2000-02-23,1360.68994140625
36,2000-02-24,1353.4300537109375
37,2000-02-25,1333.3599853515625
38,2000-02-28,1348.050048828125
39,2000-02-29,1366.4200439453125
40,2000-03-01,1379.18994140625
41,2000-03-02,1381.760009765625
42,2000-03-03,1409.1700439453125
43,2000-03-06,1391.280029296875
44,2000-03-07,1355.6199951171875
45,2000-03-08,1366.699951171875
46,2000-03-09,1401.68994140625
47,2000-03-10,1395.0699462890625
48,2000-03-13,1383.6199951171875
49,2000-03-14,1359.1500244140625
50,2000-03-15,1392.1400146484375
51,2000-03-16,1458.469970703125
52,2000-03-17,1464.469970703125
53,2000-03-20,1456.6300048828125
54,2000-03-21,1493.8699951171875
55,2000-03-22,1500.6400146484375
56,2000-03-23,1527.3499755859375
57,2000-03-24,1527.4599609375
58,2000-03-27,1523.8599853515625
59,2000-03-28,1507.72998046875
60,2000-03-29,1508.52001953125
61,2000-03-30,1487.9200439453125
62,2000-03-31,1498.5799560546875
63,2000-04-03,1505.969970703125
64,2000-04-04,1494.72998046875
65,2000-04-05,1487.3699951171875
66,2000-04-06,1501.3399658203125
67,2000-04-07,1516.3499755859375
68,2000-04-10,1504.4599609375
69,2000-04-11,1500.5899658203125
70,2000-04-12,1467.1700439453125
71,2000-04-13,1440.510009765625
72,2000-04-14,1356.56005859375
73,2000-04-17,1401.43994140625
74,2000-04-18,1441.6099853515625
75,2000-04-19,1427.469970703125
76,2000-04-20,1434.5400390625
77,2000-04-24,1429.8599853515625
78,2000-04-25,1477.43994140625
79,2000-04-26,1460.989990234375
80,2000-04-27,1464.9200439453125
81,2000-04-28,1452.4300537109375
82,2000-05-01,1468.25
83,2000-05-02,1446.2900390625
84,2000-05-03,1415.0999755859375
85,2000-05-04,1409.5699462890625
86,2000-05-05,1432.6300048828125
87,2000-05-08,1424.1700439453125
88,2000-05-09,1412.1400146484375
89,2000-05-10,1383.050048828125
90,2000-05-11,1407.81005859375
91,2000-05-12,1420.9599609375
92,2000-05-15,1452.3599853515625
93,2000-05-16,1466.0400390625
94,2000-05-17,1447.800048828125
95,2000-05-18,1437.2099609375
96,2000-05-19,1406.949951171875
97,2000-05-22,1400.719970703125
98,2000-05-23,1373.8599853515625
99,2000-05-24,1399.050048828125
100,2000-05-25,1381.52001953125
101,2000-05-26,1378.02001953125
102,2000-05-30,1422.449951171875
103,2000-05-31,1420.5999755859375
104,2000-06-01,1448.81005859375
105,2000-06-02,1477.260009765625
106,2000-06-05,1467.6300048828125
107,2000-06-06,1457.8399658203125
108,2000-06-07,1471.3599853515625
109,2000-06-08,1461.6700439453125
110,2000-06-09,1456.949951171875
111,2000-06-12,1446.0
112,2000-06-13,1469.43994140625
113,2000-06-14,1470.5400390625
114,2000-06-15,1478.72998046875
115,2000-06-16,1464.4599609375
116,2000-06-19,1486.0
117,2000-06-20,1475.949951171875
