,Date,IBEX
0,2000-01-03,11609.98828125
1,2000-01-04,11206.587890625
2,2000-01-05,10863.0888671875
3,2000-01-07,11102.388671875
4,2000-01-10,11173.2880859375
5,2000-01-11,11012.3896484375
6,2000-01-12,10851.7890625
7,2000-01-13,10931.8896484375
8,2000-01-14,11183.98828125
9,2000-01-17,11285.587890625
10,2000-01-18,11066.2890625
11,2000-01-19,11120.6884765625
12,2000-01-20,11047.5888671875
13,2000-01-21,10969.2890625
14,2000-01-24,10954.9892578125
15,2000-01-25,10863.4892578125
16,2000-01-26,11031.3896484375
17,2000-01-27,11206.587890625
18,2000-01-28,11009.2890625
19,2000-01-31,10835.0888671875
20,2000-02-01,10969.9892578125
21,2000-02-02,11195.587890625
22,2000-02-03,11544.087890625
23,2000-02-04,11580.087890625
24,2000-02-07,11506.7880859375
25,2000-02-08,11834.7880859375
26,2000-02-09,11939.48828125
27,2000-02-10,12020.587890625
28,2000-02-11,12432.5869140625
29,2000-02-14,12458.5869140625
30,2000-02-15,12165.0869140625
31,2000-02-16,12235.0869140625
32,2000-02-17,12326.6875
33,2000-02-18,12367.9873046875
34,2000-02-21,12260.287109375
35,2000-02-22,12076.8876953125
36,2000-02-23,12312.287109375
37,2000-02-24,12352.287109375
38,2000-02-25,12690.8876953125
39,2000-02-28,12466.9873046875
40,2000-02-29,12585.787109375
41,2000-03-01,12538.6875
42,2000-03-02,12709.5869140625
43,2000-03-03,12744.9873046875
44,2000-03-06,12816.787109375
45,2000-03-07,12667.1875
46,2000-03-08,12668.287109375
47,2000-03-09,12563.1875
48,2000-03-10,12513.6875
49,2000-03-13,12359.6875
50,2000-03-14,12555.787109375
51,2000-03-15,12279.4873046875
52,2000-03-16,12260.8876953125
53,2000-03-17,12369.787109375
54,2000-03-20,12362.3876953125
55,2000-03-21,12308.287109375
56,2000-03-22,12172.1875
57,2000-03-23,12073.287109375
58,2000-03-24,12213.787109375
59,2000-03-27,12161.9873046875
60,2000-03-28,12211.0869140625
61,2000-03-29,12088.5869140625
62,2000-03-30,11833.388671875
63,2000-03-31,11934.98828125
64,2000-04-03,11686.388671875
65,2000-04-04,11584.1884765625
66,2000-04-05,11374.587890625
67,2000-04-06,11607.888671875
68,2000-04-07,11790.587890625
69,2000-04-10,11768.6884765625
70,2000-04-11,11515.2880859375
71,2000-04-12,11542.087890625
72,2000-04-13,11647.1884765625
73,2000-04-14,11363.888671875
74,2000-04-17,11217.2880859375
75,2000-04-18,11261.48828125
76,2000-04-19,11339.7880859375
77,2000-04-20,11501.98828125
78,2000-04-25,11425.48828125
79,2000-04-26,11481.48828125
80,2000-04-27,11272.98828125
81,2000-04-28,11467.888671875
82,2000-05-02,11867.1884765625
83,2000-05-03,11667.888671875
84,2000-05-04,11597.48828125
85,2000-05-05,11560.888671875
86,2000-05-08,11303.98828125
87,2000-05-09,11071.689453125
88,2000-05-10,10832.2890625
89,2000-05-11,11036.2890625
90,2000-05-12,11102.587890625
91,2000-05-15,11009.2890625
92,2000-05-16,11220.6884765625
93,2000-05-17,10905.2890625
94,2000-05-18,10889.5888671875
95,2000-05-19,10544.8896484375
96,2000-05-22,10326.2890625
97,2000-05-23,10380.0888671875
98,2000-05-24,10342.3896484375
99,2000-05-25,10560.5888671875
100,2000-05-26,10437.0888671875
101,2000-05-29,10558.8896484375
102,2000-05-30,10648.4892578125
103,2000-05-31,10688.4892578125
104,2000-06-01,10875.4892578125
105,2000-06-02,11141.48828125
106,2000-06-05,11004.189453125
107,2000-06-06,10782.4892578125
108,2000-06-07,10688.8896484375
109,2000-06-08,10799.5888671875
110,2000-06-09,10873.189453125
111,2000-06-12,10791.2890625
112,2000-06-13,10805.9892578125
113,2000-06-14,10880.689453125
114,2000-06-15,10875.9892578125
115,2000-06-16,10723.7890625
116,2000-06-19,10595.5888671875
117,2000-06-20,10563.3896484375
118,2000-06-21,10351.3896484375
119,2000-06-22,10490.4892578125
120,2000-06-23,10533.0888671875
121,2000-06-26,10488.8896484375
122,2000-06-27,10528.189453125
123,2000-06-28,10583.189453125
124,2000-06-29,10366.3896484375
125,2000-06-30,10581.2890625
126,2000-07-03,10676.689453125
127,2000-07-04,10848.8896484375
128,2000-07-05,10757.5888671875
129,2000-07-06,10739.5888671875
130,2000-07-07,10896.689453125
131,2000-07-10,10828.8896484375
132,2000-07-11,10874.7890625
133,2000-07-12,10878.689453125
134,2000-07-13,10848.189453125
135,2000-07-14,11002.5888671875
136,2000-07-17,10949.189453125
137,2000-07-18,10791.4892578125
138,2000-07-19,10850.689453125
139,2000-07-20,10986.0888671875
140,2000-07-21,10879.5888671875
141,2000-07-24,10831.4892578125
142,2000-07-25,10714.5888671875
143,2000-07-26,10743.7890625
144,2000-07-27,10725.9892578125
145,2000-07-28,10559.9892578125
146,2000-07-31,10531.5888671875
147,2000-08-01,10548.9892578125
148,2000-08-02,10644.4892578125
149,2000-08-03,10452.9892578125
150,2000-08-04,10583.3896484375
151,2000-08-07,10707.689453125
152,2000-08-08,10867.5888671875
153,2000-08-09,10951.8896484375
154,2000-08-10,11110.587890625
155,2000-08-11,11094.587890625
156,2000-08-14,11210.587890625
157,2000-08-15,11207.888671875
158,2000-08-16,11342.6884765625
159,2000-08-17,11155.48828125
160,2000-08-18,11065.4892578125
161,2000-08-21,11093.48828125
162,2000-08-22,10934.5888671875
163,2000-08-23,10798.0888671875
164,2000-08-24,10720.0888671875
165,2000-08-25,10818.2890625
166,2000-08-28,10907.4892578125
167,2000-08-29,10840.5888671875
168,2000-08-30,10869.5888671875
169,2000-08-31,10884.689453125
170,2000-09-01,11170.087890625
171,2000-09-04,11246.2880859375
172,2000-09-05,11188.1884765625
173,2000-09-06,11238.48828125
174,2000-09-07,11282.48828125
175,2000-09-08,11103.2880859375
176,2000-09-11,11229.7880859375
177,2000-09-12,11311.7880859375
178,2000-09-13,11212.48828125
179,2000-09-14,11451.587890625
