iteration,train_start,train_end,test_end,model,index,mae,rmse,mae_roll,rmse_roll,high_error_regime,cusum_rmse,cusumsq_rmse
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,IBEX,0.0155007298515293,0.0214024222101768,0.0140078946816205,0.0184211203887242,1,11.724062528302365,21.38421987915909
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,IBEX,0.0068329482564634,0.0097127223467431,0.0125679513438901,0.0167955410619251,1,11.233916647728591,21.62446286340253
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,IBEX,0.0113970519929899,0.0142962854413871,0.0124824145691835,0.0165198384259191,1,11.61676477222814,21.771035549835354
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,IBEX,0.0098060736576996,0.012570641332567,0.0108842009396705,0.0144955178327185,0,11.670943490245559,21.773970883321365
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,IBEX,0.0079922032517,0.0101711419388543,0.0090070692897132,0.0116876977648878,0,11.26810906311046,21.93624645900663
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,IBEX,0.007326556857357,0.0090184595104565,0.0091304714399366,0.0115141320558162,0,10.64573258343538,22.323598941459373
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,IBEX,0.0082995832579602,0.0110388418300888,0.0083561042561791,0.0106997711529916,0,10.408161901471727,22.380038770388047
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,IBEX,0.0061342406794107,0.0082087880209446,0.0074381460116069,0.009609307825086,0,9.631573874616544,22.983127733842874
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,IBEX,0.0077361571512714,0.0098684762018745,0.0073741344864998,0.0095336413908411,0,9.171093164782027,23.195170217972574
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,IBEX,0.0128050995429208,0.0158266036469909,0.0087437701578907,0.0112356774249747,0,9.845408558687724,23.64987146843077
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,IBEX,0.0093097116067939,0.0124398876460842,0.0089963022450992,0.0115859388789735,0,9.874683684874126,23.650728501444
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,IBEX,0.0072910887911304,0.0097097530822612,0.0092855142730291,0.0119611801443027,0,9.383972272630198,23.891526191550433
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,IBEX,0.0126997816578777,0.0168636826972854,0.0105264203996807,0.0137099817681554,0,10.255811683332386,24.651630149603974
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,IBEX,0.0092643630068993,0.0125470216201919,0.0096412362656753,0.0128900862614556,0,10.305491746726915,24.65409825830286
