Date,Vol_IBEX,Vol_SPX
2001-04-23,1.338740376275016,1.2904244559331566
2001-04-24,1.418218639351967,1.4214283579515141
2001-04-25,1.469918783567151,1.3537186723374621
2001-04-26,1.4786739352795546,1.4072749195123042
2001-04-27,1.4362077972807712,1.3794222994958256
2001-04-30,1.4281264137977001,1.3702495071389784
2001-05-01,1.4214284750661514,1.323649748884884
2001-05-02,1.3862349713879119,1.3087142071130171
2001-05-03,1.4077191166532184,1.2885130300504837
2001-05-04,1.3888105082466227,1.2602214845192818
2001-05-07,1.3475924866568938,1.1998644552205884
2001-05-08,1.3195717408024585,1.181421655347225
2001-05-09,1.2955239459808305,1.1434500722300929
2001-05-10,1.2520039073064966,1.247402688312563
2001-05-11,1.238087453786174,1.2114861857767656
2001-05-14,1.2476656186283872,1.1775143814308955
2001-05-15,1.2579175229240718,1.1450718785456933
2001-05-16,1.2799861156489756,1.2475988605928325
2001-05-17,1.2925597886031035,1.3053314027607752
2001-05-18,1.2854727953557246,1.2852759108559801
2001-05-21,1.3095285144394013,1.2261464517124283
2001-05-22,1.3703827108254103,1.2173687318748252
2001-05-23,1.3242109350084208,1.1643958039486801
2001-05-24,1.297052345887918,1.1134476791280963
2001-05-25,1.3497680155241376,1.1230070032767687
2001-05-28,1.3249169450047904,1.1903683850776923
2001-05-29,1.2946323377675364,1.1472566354372769
2001-05-30,1.3698178573103705,1.2111120385495746
2001-05-31,1.3201591314143404,1.1586709780405502
2001-06-01,1.3582045422873201,1.1441625235293815
2001-06-04,1.3219255621560986,1.1483776957309835
2001-06-05,1.2943442641965546,1.0958790387840478
2001-06-06,1.2536944485019028,1.2284819808555116
2001-06-07,1.3004641801927515,1.1867314128165132
2001-06-08,1.3187785952609625,1.157258430871225
2001-06-11,1.2762472352024423,1.1338288131168288
2001-06-12,1.327708440027108,1.1647744748914064
2001-06-13,1.342159793694929,1.1615975030903776
2001-06-14,1.3203113721587834,1.1724630713587254
2001-06-15,1.2840615509767412,1.1598148001206914
2001-06-18,1.2821470595783822,1.1100925823312495
2001-06-19,1.2401799772315885,1.1624308457517911
2001-06-20,1.2116033788584306,1.177638663205183
2001-06-21,1.214510756228425,1.2625637747691605
2001-06-22,1.1704389471726344,1.2352769234213936
2001-06-25,1.1631447993274073,1.2970882182500711
2001-06-26,1.1383391915306942,1.2582003959002248
2001-06-27,1.1512485513745399,1.2394357274002772
2001-06-28,1.171786148883248,1.2704578872669112
2001-06-29,1.2234229947975472,1.3196825610315042
2001-07-02,1.185033870136382,1.4738861212479761
2001-07-03,1.173388686788201,1.411153764872714
2001-07-04,1.1343291841938359,1.3652318534603511
2001-07-05,1.1133757706397354,1.405529962891706
2001-07-06,1.123306260831356,1.3498232748151089
2001-07-09,1.1193527747285774,1.3572634476277223
2001-07-10,1.1250770395228906,1.2923430393197453
2001-07-11,1.1042086413125376,1.242956001076152
2001-07-12,1.078364982954008,1.2374979874904954
2001-07-13,1.08712865187859,1.1786405011537988
2001-07-16,1.1471090350195352,1.196903269539178
2001-07-17,1.1373686956351383,1.1708313894326061
2001-07-18,1.1886047031336613,1.1358130179647958
2001-07-19,1.1816096739186803,1.1258060068610138
2001-07-20,1.2147883953200578,1.1030920372746014
2001-07-23,1.247088007601987,1.0980113395174833
2001-07-24,1.2568461666494612,1.096826887335008
2001-07-25,1.2177265928724335,1.0930584702832287
2001-07-26,1.2609675455049385,1.0604142159815655
2001-07-27,1.2185720110209668,1.1490913065657609
2001-07-30,1.2050727577029121,1.1966155685753532
2001-07-31,1.2620742964602312,1.4790400128859773
2001-08-01,1.2650182038946771,1.5336945750182163
2001-08-02,1.2283911609970442,1.5618747022812054
2001-08-03,1.2057359305600241,1.5202172509644807
2001-08-06,1.2140419972646177,1.4571443634854397
2001-08-07,1.1964740996999497,1.5020127732658504
2001-08-08,1.1680470401415481,1.4715018369936095
2001-08-09,1.2032095337910262,1.403289977937878
2001-08-10,1.223833680018405,1.3716545398627311
2001-08-13,1.3132576954134452,1.3242464919386612
2001-08-14,1.3260414906077707,1.3621142376747526
2001-08-15,1.297673655944877,1.3141022152110995
2001-08-16,1.2607879573041945,1.3194460332163767
2001-08-17,1.3012045970145314,1.2840158083432314
2001-08-20,1.329868745261599,1.2637924792707644
2001-08-21,1.359225293746039,1.3061533889338712
2001-08-22,1.368793237279644,1.319674398334781
2001-08-23,1.3326624040649304,1.292336289116109
2001-08-24,1.3123871950616919,1.327613504739178
2001-08-27,1.328309556594632,1.2998627175932589
2001-08-28,1.383061967918047,1.2969492075830777
2001-08-29,1.3347464549395587,1.2701159150427113
2001-08-30,1.402547213348928,1.3138137396507752
2001-08-31,1.4201292989188832,1.2721470790948406
2001-09-03,1.3778178585830516,1.3059810224872659
2001-09-04,1.3373529916018687,1.321547192058603
2001-09-05,1.357430653058604,1.316543380971075
2001-09-06,1.3469868654217085,1.2660821598013106
2001-09-07,1.3629468465779209,1.3557127955380244
2001-09-10,1.3194342323146084,1.2968413305025979
2001-09-11,1.3283340029435542,1.32081342562295
2001-09-12,1.3617553563843745,1.3404446430094463
2001-09-13,1.353192398389938,1.3058863141329993
2001-09-14,1.374219452725139,1.275213124758746
2001-09-17,1.351617430836112,1.2518911741636924
2001-09-18,1.331932580132258,1.2258864468709718
2001-09-19,1.3012249742934618,1.1858844728571751
2001-09-20,1.2802375718525807,1.1709959177749942
2001-09-21,1.2331615183273437,1.194233175628957
2001-09-24,1.209998854800018,1.1371287280357336
2001-09-25,1.1681942346209806,1.1082453679604214
2001-09-26,1.185260841119214,1.1133574227954204
