Date,Index,VaR95_exc,VaR99_exc,Severity95
2000-09-15,IBEX,0,0,
2000-09-18,IBEX,1,0,-0.34113025941919206
2000-09-19,IBEX,0,0,
2000-09-20,IBEX,0,0,
2000-09-21,IBEX,0,0,
2000-09-22,IBEX,0,0,
2000-09-25,IBEX,0,0,
2000-09-26,IBEX,0,0,
2000-09-27,IBEX,0,0,
2000-09-28,IBEX,0,0,
2000-09-29,IBEX,0,0,
2000-10-02,IBEX,0,0,
2000-10-03,IBEX,0,0,
2000-10-04,IBEX,0,0,
2000-10-05,IBEX,0,0,
2000-10-06,IBEX,0,0,
2000-10-09,IBEX,1,0,-0.6223401310972982
2000-10-10,IBEX,0,0,
2000-10-11,IBEX,1,0,-0.7367659893012113
2000-10-12,IBEX,0,0,
2000-10-13,IBEX,0,0,
2000-10-16,IBEX,0,0,
2000-10-17,IBEX,0,0,
2000-10-18,IBEX,1,0,-0.7389102943116019
2000-10-19,IBEX,0,0,
2000-10-20,IBEX,0,0,
2000-10-23,IBEX,0,0,
2000-10-24,IBEX,0,0,
2000-10-25,IBEX,0,0,
2000-10-26,IBEX,0,0,
2000-10-27,IBEX,0,0,
2000-10-30,IBEX,0,0,
2000-10-31,IBEX,0,0,
2000-11-01,IBEX,0,0,
2000-11-02,IBEX,0,0,
2000-11-03,IBEX,0,0,
2000-11-06,IBEX,0,0,
2000-11-07,IBEX,0,0,
2000-11-08,IBEX,0,0,
2000-11-09,IBEX,0,0,
2000-11-10,IBEX,1,0,-0.5324752877948291
2000-11-13,IBEX,0,0,
2000-11-14,IBEX,0,0,
2000-11-15,IBEX,0,0,
2000-11-16,IBEX,0,0,
2000-11-17,IBEX,1,0,-0.37988734657631706
2000-11-20,IBEX,1,0,-0.438305277341859
2000-11-21,IBEX,0,0,
2000-11-22,IBEX,1,0,-0.9765518084507057
2000-11-23,IBEX,0,0,
2000-11-24,IBEX,0,0,
2000-11-27,IBEX,0,0,
2000-11-28,IBEX,0,0,
2000-11-29,IBEX,0,0,
2000-11-30,IBEX,1,0,-0.06412576803542303
2000-12-01,IBEX,0,0,
2000-12-04,IBEX,1,0,-0.15361456902572224
2000-12-05,IBEX,0,0,
2000-12-06,IBEX,0,0,
2000-12-07,IBEX,0,0,
2000-12-08,IBEX,0,0,
2000-12-11,IBEX,0,0,
2000-12-12,IBEX,0,0,
2000-12-13,IBEX,0,0,
2000-12-14,IBEX,0,0,
2000-12-15,IBEX,1,0,-1.2506776870822893
2000-12-18,IBEX,0,0,
2000-12-19,IBEX,0,0,
2000-12-20,IBEX,1,0,-1.539024086992569
2000-12-21,IBEX,0,0,
2000-12-22,IBEX,0,0,
2000-12-25,IBEX,0,0,
2000-12-26,IBEX,0,0,
2000-12-27,IBEX,0,0,
2000-12-28,IBEX,0,0,
2000-12-29,IBEX,0,0,
2001-01-01,IBEX,0,0,
2001-01-02,IBEX,0,0,
2001-01-03,IBEX,0,0,
2001-01-04,IBEX,0,0,
2001-01-05,IBEX,0,0,
2001-01-08,IBEX,0,0,
2001-01-09,IBEX,0,0,
2001-01-10,IBEX,0,0,
2001-01-11,IBEX,0,0,
2001-01-12,IBEX,0,0,
2001-01-15,IBEX,0,0,
2001-01-16,IBEX,0,0,
2001-01-17,IBEX,0,0,
2001-01-18,IBEX,0,0,
2001-01-19,IBEX,0,0,
2001-01-22,IBEX,0,0,
2001-01-23,IBEX,0,0,
2001-01-24,IBEX,0,0,
2001-01-25,IBEX,0,0,
2001-01-26,IBEX,0,0,
2001-01-29,IBEX,0,0,
2001-01-30,IBEX,0,0,
2001-01-31,IBEX,0,0,
2001-02-01,IBEX,0,0,
2001-02-02,IBEX,1,0,-0.7334091081172618
2001-02-05,IBEX,0,0,
2001-02-06,IBEX,0,0,
2001-02-07,IBEX,0,0,
2001-02-08,IBEX,0,0,
2001-02-09,IBEX,0,0,
2001-02-12,IBEX,0,0,
2001-02-13,IBEX,0,0,
2001-02-14,IBEX,1,0,-0.8456410424912955
2001-02-15,IBEX,0,0,
2001-02-16,IBEX,0,0,
2001-02-19,IBEX,0,0,
2001-02-20,IBEX,0,0,
2001-02-21,IBEX,0,0,
