Date,Index,Drawdown
2000-07-04,IBEX,-0.16067575608306783
2000-07-05,IBEX,-0.16776912997509663
2000-07-06,IBEX,-0.16916281609951989
2000-07-07,IBEX,-0.1570972195686574
2000-07-10,IBEX,-0.16235819136058827
2000-07-11,IBEX,-0.1588152596722674
2000-07-12,IBEX,-0.15851361144549125
2000-07-13,IBEX,-0.160876155262358
2000-07-14,IBEX,-0.14901732035840431
2000-07-17,IBEX,-0.15315749209672724
2000-07-18,IBEX,-0.16544317765305938
2000-07-19,IBEX,-0.16087745894528094
2000-07-20,IBEX,-0.15047133082454733
2000-07-21,IBEX,-0.15874690497570654
2000-07-24,IBEX,-0.16247440401788404
2000-07-25,IBEX,-0.17156265009949
2000-07-26,IBEX,-0.16930800182812544
2000-07-27,IBEX,-0.1706853945976331
2000-07-28,IBEX,-0.18362057775949858
2000-07-31,IBEX,-0.18581913382441406
2000-08-01,IBEX,-0.18447504655656966
2000-08-02,IBEX,-0.17712531771072926
2000-08-03,IBEX,-0.19206405358486534
2000-08-04,IBEX,-0.18204745206392636
2000-08-07,IBEX,-0.1724967386783437
2000-08-08,IBEX,-0.16023087519281864
2000-08-09,IBEX,-0.1537418525071268
2000-08-10,IBEX,-0.14156715485141402
2000-08-11,IBEX,-0.14280424732343278
2000-08-14,IBEX,-0.13388832532034134
2000-08-15,IBEX,-0.13409688765299288
2000-08-16,IBEX,-0.12374460620507233
2000-08-17,IBEX,-0.13832702933883712
2000-08-18,IBEX,-0.1453069337819487
2000-08-21,IBEX,-0.143147034130776
2000-08-22,IBEX,-0.15550905691917916
2000-08-23,IBEX,-0.16611746247204306
2000-08-24,IBEX,-0.1721628742730532
2000-08-25,IBEX,-0.16461408568746871
2000-08-28,IBEX,-0.1577543079310263
2000-08-29,IBEX,-0.16293607555290013
2000-08-30,IBEX,-0.16069980936071093
2000-08-31,IBEX,-0.15953462001219954
2000-09-01,IBEX,-0.1377814285994441
2000-09-04,IBEX,-0.13191951080514064
2000-09-05,IBEX,-0.13641573784576788
2000-09-06,IBEX,-0.13254194120403207
2000-09-07,IBEX,-0.12915237210210584
2000-09-08,IBEX,-0.14309510037834916
2000-09-11,IBEX,-0.1333875591275544
2000-09-12,IBEX,-0.12708254007580355
2000-09-13,IBEX,-0.13477922195195313
2000-09-14,IBEX,-0.11652287443674836
2000-09-15,IBEX,-0.11563610755477705
2000-09-18,IBEX,-0.1371106678764209
2000-09-19,IBEX,-0.14661836382705762
2000-09-20,IBEX,-0.15937654249107758
2000-09-21,IBEX,-0.16695989381753107
2000-09-22,IBEX,-0.14971300222901718
2000-09-25,IBEX,-0.13977252886369562
2000-09-26,IBEX,-0.15557314616383544
2000-09-27,IBEX,-0.15544986614935408
2000-09-28,IBEX,-0.15041651839063253
2000-09-29,IBEX,-0.15606929488352972
2000-10-02,IBEX,-0.14060497192111876
2000-10-03,IBEX,-0.13150643633087156
2000-10-04,IBEX,-0.1401719299068921
2000-10-05,IBEX,-0.13418290193177973
2000-10-06,IBEX,-0.14093549170167585
2000-10-09,IBEX,-0.1652531743965313
2000-10-10,IBEX,-0.15667937425009748
2000-10-11,IBEX,-0.18264252907381917
2000-10-12,IBEX,-0.18264252907381917
2000-10-13,IBEX,-0.20080063826598282
2000-10-16,IBEX,-0.19544722004597948
2000-10-17,IBEX,-0.20161156799500302
2000-10-18,IBEX,-0.2265677662914164
2000-10-19,IBEX,-0.2029957473443199
2000-10-20,IBEX,-0.19715154014683667
2000-10-23,IBEX,-0.20594006866678638
2000-10-24,IBEX,-0.18044842779686454
2000-10-25,IBEX,-0.19201596732836168
2000-10-26,IBEX,-0.2069571943460149
2000-10-27,IBEX,-0.20152232659296399
2000-10-30,IBEX,-0.20834126495657135
2000-10-31,IBEX,-0.20406707991265827
2000-11-01,IBEX,-0.20406707991265827
2000-11-02,IBEX,-0.19309089932090662
