Date,Index,Vol_RV,Vol_EGARCH
2000-01-04,IBEX,,1.3288103008672971
2000-01-05,IBEX,,1.4102825976242968
2000-01-06,IBEX,,1.4634476817987705
2000-01-07,IBEX,,1.405942793269619
2000-01-10,IBEX,,1.422015140672142
2000-01-11,IBEX,,1.3838372805352808
2000-01-12,IBEX,,1.3809943999423535
2000-01-13,IBEX,,1.3790782206586691
2000-01-14,IBEX,,1.3473014124774647
2000-01-17,IBEX,,1.3737072646934456
2000-01-18,IBEX,,1.3481962627657442
2000-01-19,IBEX,,1.367435315262321
2000-01-20,IBEX,,1.3279818312479732
2000-01-21,IBEX,,1.3017195111238815
2000-01-24,IBEX,,1.27933120966604
2000-01-25,IBEX,,1.2370559300479358
2000-01-26,IBEX,,1.224653894945718
2000-01-27,IBEX,,1.235964024903106
2000-01-28,IBEX,,1.247780201933646
2000-01-31,IBEX,0.2627956465988392,1.2713079438495598
2000-02-01,IBEX,0.23951496231613373,1.2851033485231274
2000-02-02,IBEX,0.2229545106166482,1.279034885926336
2000-02-03,IBEX,0.24560643374382793,1.3042047996476434
2000-02-04,IBEX,0.23543308151252465,1.3662426449266938
2000-02-07,IBEX,0.23670514128990655,1.3206723049372842
2000-02-08,IBEX,0.24667768617131572,1.2940685533885037
2000-02-09,IBEX,0.23749816533443907,1.347589748394804
2000-02-10,IBEX,0.23742304645254192,1.323259819328339
2000-02-11,IBEX,0.25117155536194496,1.293439636898549
2000-02-14,IBEX,0.2510069149420262,1.369212322947141
2000-02-15,IBEX,0.2568591378955799,1.3199346124717588
2000-02-16,IBEX,0.25688353220459836,1.3583309087532007
2000-02-17,IBEX,0.2534542794596316,1.3223929501303544
2000-02-18,IBEX,0.24924769561067175,1.295123699983259
2000-02-21,IBEX,0.25350383519171893,1.254759776951479
2000-02-22,IBEX,0.2594462927287575,1.2422780526782715
2000-02-23,IBEX,0.26185389841195156,1.2557095003265282
2000-02-24,IBEX,0.2591010407178508,1.2794532875950484
2000-02-25,IBEX,0.2559933892117473,1.239686257835001
2000-02-28,IBEX,0.2582781186014074,1.2967683948130069
2000-02-29,IBEX,0.2576859640961768,1.3149190381460971
2000-03-01,IBEX,0.25514735644041864,1.295585604290076
2000-03-02,IBEX,0.2396788689421526,1.2612738457069586
2000-03-03,IBEX,0.23971293279726397,1.2618564564074328
2000-03-06,IBEX,0.23607129190818618,1.221444060874292
2000-03-07,IBEX,0.22743312152708664,1.1944985154213834
2000-03-08,IBEX,0.22678792716854698,1.1993336374420442
2000-03-09,IBEX,0.22974096953536288,1.156352473874919
2000-03-10,IBEX,0.19796276168746202,1.1505286862083386
2000-03-13,IBEX,0.2028570864892208,1.1268494214668203
2000-03-14,IBEX,0.19047031048860713,1.141220813556661
2000-03-15,IBEX,0.20751692400989,1.1632173701139628
2000-03-16,IBEX,0.20578039191877595,1.216369969518423
2000-03-17,IBEX,0.20797413990811722,1.1786679960381723
2000-03-20,IBEX,0.2054211172332836,1.16787160908864
2000-03-21,IBEX,0.19810813179060394,1.129375714356631
2000-03-22,IBEX,0.18998976702510298,1.1090234162803931
2000-03-23,IBEX,0.19125917324606456,1.1196477494662924
2000-03-24,IBEX,0.1674165263245661,1.1162654033917616
2000-03-27,IBEX,0.15694718539896382,1.12260953634011
2000-03-28,IBEX,0.15315286501041542,1.1021615794856854
2000-03-29,IBEX,0.15600377570688728,1.0767543175633825
2000-03-30,IBEX,0.15952139329177972,1.0859232293476924
2000-03-31,IBEX,0.16382377681310864,1.1463608401075904
2000-04-03,IBEX,0.1717621233415681,1.1370017094694047
2000-04-04,IBEX,0.17045107951828695,1.1885717991940232
2000-04-05,IBEX,0.17628823849275577,1.181847553541814
2000-04-06,IBEX,0.19791818570991737,1.2152815801637598
2000-04-07,IBEX,0.2097566530747818,1.2478754409684671
2000-04-10,IBEX,0.20680262783444336,1.257902581697211
2000-04-11,IBEX,0.20589883504963843,1.2189887494235274
2000-04-12,IBEX,0.19575037313203078,1.2623600297412934
2000-04-13,IBEX,0.20043045489394487,1.2202088876471235
2000-04-14,IBEX,0.2101317620882434,1.206908547154184
2000-04-17,IBEX,0.21187648526486244,1.263942452358181
2000-04-18,IBEX,0.21416857563052621,1.2669961829569611
2000-04-19,IBEX,0.21627935956315641,1.2305730699910158
2000-04-20,IBEX,0.22436235824490183,1.2080862709041018
2000-04-21,IBEX,0.21847269348711992,1.2164965569698702
2000-04-24,IBEX,0.2186715261272975,1.1729089122332654
2000-04-25,IBEX,0.2175422383166052,1.1317213066074012
2000-04-26,IBEX,0.21786512993124096,1.1209291146040308
2000-04-27,IBEX,0.2146658182648881,1.0979597689562817
2000-04-28,IBEX,0.2225152351887373,1.1425595079404294
2000-05-01,IBEX,0.21084863067956594,1.1705153600335727
2000-05-02,IBEX,0.24253022074064368,1.1294590467012189
2000-05-03,IBEX,0.24116389016841663,1.2372601063170652
2000-05-04,IBEX,0.23153349990047525,1.258684735940964
2000-05-05,IBEX,0.22416401283665044,1.2355791254704998
2000-05-08,IBEX,0.23681610420412164,1.2030299751180873
2000-05-09,IBEX,0.2357311371344087,1.2515190882201974
2000-05-10,IBEX,0.2453312515705559,1.2865955569096512
2000-05-11,IBEX,0.25389175057131813,1.321601334075534
2000-05-12,IBEX,0.24178655577270255,1.3355331226381133
2000-05-15,IBEX,0.23936515416175277,1.3020522616185102
2000-05-16,IBEX,0.2492231171248448,1.2845327296514002
2000-05-17,IBEX,0.26693344775426264,1.303897811956276
2000-05-18,IBEX,0.26006319379249876,1.362517402683296
