model,index,n_iters,mae_mean,mae_median,mae_std,mae_p95,rmse_mean,rmse_median,rmse_std,rmse_p95
ARIMA,IBEX,66,0.009218762503200351,0.008040373493058799,0.003638053432045592,0.0162731043308662,0.012286181678804655,0.0102833846820737,0.0052503946968788405,0.02170164873997665
ARIMA,SPX,66,0.007022135745630521,0.0061066370693179,0.003641865876414956,0.012692685222200399,0.009545674396185455,0.00833051548455695,0.005118705733808198,0.01703517453624095
EGARCH,IBEX,66,0.014079512228052793,0.0125639194672496,0.005063654378853175,0.023808321150260353,0.017522833642414748,0.01523213888744695,0.006904904796356569,0.0306572339413582
EGARCH,SPX,66,0.010315536448184583,0.00882909781090665,0.004931565655983444,0.019400711165488,0.013215727050172934,0.0116306359559004,0.006798226777898069,0.025110421618452426
