Date,Index,Return,VaR95,VaR99,Breach95,Breach99
2000-01-04,IBEX,-0.0353639764456995,-2.5118358966476078,-3.942063895219159,0,0
2000-01-05,IBEX,-0.0311311097561077,-2.6609584283481653,-4.1760961219920185,0,0
2000-01-07,IBEX,0.0217895806908789,-2.757961761035339,-4.3283327135672875,0,0
2000-01-10,IBEX,0.0063656565182032,-2.7743887731293504,-4.354113192048607,0,0
2000-01-11,IBEX,-0.0145049667107611,-2.6947109119789054,-4.229067117140347,0,0
2000-01-12,IBEX,-0.0146910136923684,-2.6795480697377276,-4.205270621108251,0,0
2000-01-13,IBEX,0.0073542167066259,-2.6669809407875555,-4.185547825774703,0,0
2000-01-14,IBEX,0.0227989640239272,-2.600948491602918,-4.081916798687678,0,0
2000-01-18,IBEX,-0.0105796718632945,-2.641258508573007,-4.145179156999197,0,0
2000-01-19,IBEX,0.0049037344520508,-2.605780889317589,-4.089500741804252,0,0
2000-01-20,IBEX,-0.0065949981760722,-2.5284448292026678,-3.9681298788492265,0,0
2000-01-21,IBEX,-0.0071127373320542,-2.4758703968964957,-3.8856198025809436,0,0
2000-01-24,IBEX,-0.0013044722846837,-2.4307502859783106,-3.8148085045832327,0,0
2000-01-25,IBEX,-0.0083874351133591,-2.349095024582633,-3.686659106673843,0,0
2000-01-26,IBEX,0.0153372560422322,-2.3229840264190926,-3.645680624255464,0,0
2000-01-27,IBEX,0.0157569964947827,-2.3409552318156326,-3.673884552721419,0,0
2000-01-28,IBEX,-0.0177624332269556,-2.3601905530737746,-3.7040723789030046,0,0
2000-01-31,IBEX,-0.0159495398518482,-2.401597150183476,-3.769055705125824,0,0
2000-02-01,IBEX,0.0123734582356615,-2.4251887319708008,-3.8060802268786356,0,0
2000-02-02,IBEX,0.0203564672963807,-2.4118916324334005,-3.785211819007134,0,0
2000-02-03,IBEX,0.0306536726256866,-2.4570266113918877,-3.856046450840047,0,0
2000-02-04,IBEX,0.0031136270044447,-2.5712054003885525,-4.035238125863212,0,0
2000-02-07,IBEX,-0.0063499324082755,-2.484574769114266,-3.8992804049698244,0,0
2000-02-08,IBEX,0.0281062075251746,-2.4336179740073645,-3.8193090412055386,0,0
2000-02-09,IBEX,0.0088079124323607,-2.5325267046729074,-3.9745359557499857,0,0
2000-02-10,IBEX,0.0067695877515416,-2.485899433166909,-3.9013593267426154,0,0
2000-02-11,IBEX,0.0337001651772118,-2.4290773899070577,-3.8121830690554814,0,0
2000-02-14,IBEX,0.0020890946835653,-2.5701455837425704,-4.033574854412536,0,0
2000-02-15,IBEX,-0.0238399763313637,-2.4769724991789293,-3.88734943691821,0,0
2000-02-16,IBEX,0.0057376797831003,-2.548355890930629,-3.9993782090677863,0,0
2000-02-17,IBEX,0.0074588267988477,-2.4802867968760194,-3.8925508807335265,0,0
2000-02-18,IBEX,0.0033448379878753,-2.428536886647956,-3.811334805685332,0,0
2000-02-22,IBEX,-0.0238179471850947,-2.3522669331428263,-3.691637085621736,0,0
2000-02-23,IBEX,0.0193041975446061,-2.440019489963834,-3.829355551393703,0,0
2000-02-24,IBEX,0.0032435212311661,-2.4743822431979132,-3.8832843008972753,0,0
2000-02-25,IBEX,0.0270429946582834,-2.3945820079756888,-3.7580461726742596,0,0
2000-02-28,IBEX,-0.0178000965800634,-2.4911370263004486,-3.9095791817168717,0,0
2000-02-29,IBEX,0.0094840350370561,-2.5182516405611945,-3.952132734698871,0,0
2000-03-01,IBEX,-0.0037493054307947,-2.477258143635167,-3.8877977260358656,0,0
2000-03-02,IBEX,0.0135377191574219,-2.4092437595874827,-3.7810562593390222,0,0
2000-03-03,IBEX,0.0027814579135149,-2.4056516603997355,-3.7754188351207594,0,0
2000-03-06,IBEX,0.0056177628636732,-2.32691016146209,-3.65184228283412,0,0
2000-03-07,IBEX,-0.0117408159558539,-2.273292800792426,-3.5676954395093152,0,0
2000-03-08,IBEX,8.680392948183899e-05,-2.2787478202812474,-3.5762565224221365,0,0
2000-03-09,IBEX,-0.0083308818734507,-2.196057289706115,-3.44648237774501,0,0
2000-03-10,IBEX,-0.0039478654569801,-2.1823715125996714,-3.4250039810546324,0,0
2000-03-13,IBEX,-0.0123828766946415,-2.1358295413510606,-3.351961221885395,0,0
2000-03-14,IBEX,0.0157415150072662,-2.160050961749792,-3.3899742095062018,0,0
2000-03-15,IBEX,-0.0222515121308563,-2.198585001334683,-3.4504493569420998,0,0
2000-03-16,IBEX,-0.0015158377112378,-2.295469569437493,-3.6024995599158376,0,0
2000-03-17,IBEX,0.0088426423162686,-2.223441278460643,-3.489458685839176,0,0
2000-03-20,IBEX,-0.0005983634145971,-2.2015917921260386,-3.4551682008104034,0,0
2000-03-21,IBEX,-0.004385828363976,-2.128305692400925,-3.340153327373259,0,0
2000-03-22,IBEX,-0.01111914811881,-2.0889914704238923,-3.278453765219882,0,0
2000-03-23,IBEX,-0.0081583009421585,-2.107623732643416,-3.3076951532738823,0,0
2000-03-24,IBEX,0.0115700694192067,-2.100205932683212,-3.296053691566887,0,0
2000-03-27,IBEX,-0.004250111752855,-2.110946188260084,-3.312909400091286,0,0
2000-03-28,IBEX,0.0040290096648025,-2.0717914778627238,-3.2514601746895795,0,0
2000-03-29,IBEX,-0.0100825252730942,-2.0233018454320693,-3.1753607648704723,0,0
2000-03-30,IBEX,-0.0213366929395534,-2.0397448380998116,-3.2011663231919254,0,0
2000-03-31,IBEX,0.0085491936104847,-2.152284119156912,-3.377784961870198,0,0
2000-04-03,IBEX,-0.0210494747139252,-2.1340086308360666,-3.3491034931591024,0,0
