iteration,train_start,train_end,test_end,model,index,mae,rmse,mae_roll,rmse_roll,high_error_regime
53,2012-07-25,2022-03-22,2022-06-17,EGARCH,IBEX,0.0146925473717887,0.0182689262000558,0.013893336561930376,0.017613106979881422,0
54,2012-10-22,2022-06-17,2022-09-14,EGARCH,IBEX,0.0135237835168313,0.0160954613041814,0.014376188214720826,0.018079918017552873,0
55,2013-01-17,2022-09-14,2022-12-12,EGARCH,IBEX,0.0123294793857938,0.0154191207264982,0.013997491680534203,0.01751792081469705,0
56,2013-04-16,2022-12-12,2023-03-09,EGARCH,IBEX,0.0076896278526539,0.0096566346867603,0.012058859531766927,0.014860035729373923,0
57,2013-07-12,2023-03-09,2023-06-06,EGARCH,IBEX,0.0121094208399157,0.0162311955294145,0.011413077898798677,0.0143506030617136,0
58,2013-10-09,2023-06-06,2023-09-01,EGARCH,IBEX,0.0095724194512381,0.0114777657273385,0.010425236882400376,0.013196179167502872,0
59,2014-01-06,2023-09-01,2023-11-29,EGARCH,IBEX,0.0098056633304649,0.0118582613876303,0.009794282868568151,0.012305964332785899,0
60,2014-04-03,2023-11-29,2024-02-26,EGARCH,IBEX,0.0086390445152159,0.0105203847762227,0.010031637034208651,0.012521901855151498,0
61,2014-07-01,2024-02-26,2024-05-23,EGARCH,IBEX,0.0083811995069165,0.010507413461572,0.009099581700958852,0.011090956338190874,0
62,2014-09-26,2024-05-23,2024-08-20,EGARCH,IBEX,0.0115938450901644,0.0143074542408713,0.009604938110690426,0.011798378466574073,0
