iteration,index,n_test,var_exceedances,coverage_rate,coverage_roll,expected_coverage,coverage_gap
42,IBEX,63,2,0.031746031746031744,0.02864029538704496,0.05,-0.02135970461295504
43,IBEX,60,1,0.016666666666666666,0.02849661722612542,0.05,-0.021503382773874584
44,IBEX,60,9,0.15,0.0537015352589123,0.05,0.0037015352589123
45,IBEX,61,2,0.03278688524590164,0.05779989591465001,0.05,0.00779989591465001
46,IBEX,63,4,0.06349206349206349,0.06573640385115795,0.05,0.015736403851157946
47,IBEX,61,3,0.04918032786885246,0.0738648191517044,0.05,0.023864819151704394
48,IBEX,61,4,0.06557377049180328,0.052758261774655216,0.05,0.002758261774655213
49,IBEX,61,4,0.06557377049180328,0.06095498308613063,0.05,0.010954983086130625
50,IBEX,62,2,0.03225806451612903,0.05314648334214701,0.05,0.0031464833421470106
51,IBEX,63,3,0.047619047619047616,0.0527561632796958,0.05,0.0027561632796958
52,IBEX,60,7,0.11666666666666667,0.06552938732341165,0.05,0.01552938732341165
53,IBEX,61,2,0.03278688524590164,0.05733266601193624,0.05,0.007332666011936238
54,IBEX,61,1,0.01639344262295082,0.053366510538641686,0.05,0.003366510538641683
55,IBEX,63,1,0.015873015873015872,0.04543000260213375,0.05,-0.004569997397866253
56,IBEX,60,3,0.05,0.028763335935467083,0.05,-0.02123666406453292
57,IBEX,60,3,0.05,0.03306661462399167,0.05,-0.01693338537600833
58,IBEX,62,4,0.06451612903225806,0.045097286226318485,0.05,-0.004902713773681518
59,IBEX,62,0,0.0,0.04112903225806452,0.05,-0.008870967741935486
60,IBEX,59,3,0.05084745762711865,0.04134089666484418,0.05,-0.008659103335155821
61,IBEX,61,2,0.03278688524590164,0.03703761797631959,0.05,-0.012962382023680413
62,IBEX,61,3,0.04918032786885246,0.03320366768546819,0.05,-0.016796332314531814
63,IBEX,63,3,0.047619047619047616,0.04510842959023009,0.05,-0.00489157040976991
64,IBEX,58,3,0.05172413793103448,0.04532759966620905,0.05,-0.004672400333790953
65,IBEX,60,4,0.06666666666666667,0.0537975450214003,0.05,0.0037975450214002976
66,IBEX,61,3,0.04918032786885246,0.0537975450214003,0.05,0.0037975450214002976
1,SPX,62,4,0.06451612903225806,0.06451612903225806,0.05,0.01451612903225806
2,SPX,57,5,0.08771929824561403,0.07611771363893605,0.05,0.026117713638936044
3,SPX,62,6,0.0967741935483871,0.08300320694208639,0.05,0.03300320694208639
4,SPX,62,4,0.06451612903225806,0.0783814374646293,0.05,0.028381437464629303
5,SPX,63,2,0.031746031746031744,0.07018891314307274,0.05,0.020188913143072737
6,SPX,60,4,0.06666666666666667,0.0649257552483359,0.05,0.014925755248335892
7,SPX,61,4,0.06557377049180328,0.05712564948418994,0.05,0.007125649484189936
8,SPX,62,6,0.0967741935483871,0.06519016561322219,0.05,0.015190165613222187
9,SPX,63,6,0.09523809523809523,0.08106318148623806,0.05,0.03106318148623806
10,SPX,60,1,0.016666666666666666,0.06856318148623808,0.05,0.018563181486238076
11,SPX,61,3,0.04918032786885246,0.06446482083050037,0.05,0.014464820830500366
12,SPX,61,3,0.04918032786885246,0.0525663544106167,0.05,0.0025663544106167002
13,SPX,63,2,0.031746031746031744,0.03669333853760083,0.05,-0.013306661462399172
14,SPX,58,2,0.034482758620689655,0.04114736152610658,0.05,-0.00885263847389342
15,SPX,60,5,0.08333333333333333,0.049685612892226796,0.05,-0.00031438710777320633
16,SPX,61,3,0.04918032786885246,0.049685612892226796,0.05,-0.00031438710777320633
17,SPX,63,2,0.031746031746031744,0.049685612892226796,0.05,-0.00031438710777320633
18,SPX,60,3,0.05,0.053564923237054377,0.05,0.0035649232370543738
19,SPX,62,4,0.06451612903225806,0.048860622161785563,0.05,-0.0011393778382144393
20,SPX,60,2,0.03333333333333333,0.04489887352790579,0.05,-0.005101126472094215
21,SPX,62,3,0.04838709677419355,0.049059139784946235,0.05,-0.0009408602150537682
22,SPX,63,4,0.06349206349206349,0.05243215565796211,0.05,0.0024321556579621068
23,SPX,59,3,0.05084745762711865,0.049014987806677256,0.05,-0.000985012193322747
24,SPX,60,1,0.016666666666666666,0.04484832114001058,0.05,-0.00515167885998942
25,SPX,62,5,0.08064516129032258,0.05291283726904285,0.05,0.002912837269042845
26,SPX,63,2,0.031746031746031744,0.04497632933253491,0.05,-0.005023670667465091
27,SPX,60,1,0.016666666666666666,0.036431131592421916,0.05,-0.013568868407578087
28,SPX,61,0,0.0,0.03226446492575525,0.05,-0.017735535074244753
29,SPX,63,1,0.015873015873015872,0.01607142857142857,0.05,-0.03392857142857143
30,SPX,62,1,0.016129032258064516,0.012167178699436763,0.05,-0.037832821300563244
31,SPX,60,2,0.03333333333333333,0.016333845366103432,0.05,-0.03366615463389657
32,SPX,61,3,0.04918032786885246,0.028628927333316546,0.05,-0.021371072666683456
33,SPX,62,3,0.04838709677419355,0.03675744755861096,0.05,-0.013242552441389041
34,SPX,63,0,0.0,0.032725189494094836,0.05,-0.017274810505905167
