Date,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2000-01-21,-0.0071127373320542,-0.0029165681339535,,,1.3017195111238815,1.1204437587364582,,1.161789247317376,-0.028273964315820854,-0.01628987930505066,,,0,0,0,0,,
2000-01-24,-0.0013044722846837,-0.0280225842284591,,,1.27933120966604,1.0894838816007866,,1.1742543705982225,-0.02954155399767644,-0.04385597901861249,,,0,1,0,0,,-0.6255082325045689
2000-01-25,-0.0083874351133591,0.0060464836030405,,,1.2370559300479358,1.2031244883795515,,1.0282027687044135,-0.03768121124373236,-0.038074669873603306,,,0,0,0,0,,
2000-01-26,0.0153372560422322,-0.0042216197666675,,,1.224653894945718,1.1733944748198333,,1.0436847294118674,-0.022921881586326687,-0.04213555286132309,,,0,0,0,0,,
2000-01-27,0.0157569964947827,-0.0039462040244824,,,1.235964024903106,1.144797530720479,,1.079635474165682,-0.007526065099353385,-0.04591548139753032,,,0,0,0,0,,
2000-01-28,-0.0177624332269556,-0.027840812729733,,,1.247780201933646,1.1171663071986049,,1.116915354404634,-0.025154817097519988,-0.07247796980827925,,,0,1,0,0,,-0.5520225771948493
2000-01-31,-0.0159495398518482,0.0249048505291246,0.2627956465988392,0.2597997853898259,1.2713079438495598,1.2234568692377814,1.0115314229552501,1.039111370261536,-0.04070314919160534,-0.0493781722838843,,,0,0,0,0,,
2000-02-01,0.0123734582356615,0.0105717409154067,0.23951496231613373,0.2233290150766487,1.2851033485231274,1.284789317920145,1.0724757919786188,1.000244421866373,-0.028833329672526053,-0.0393284446127391,,,0,0,0,0,,
2000-02-02,0.0203564672963807,-0.0001135638507474,0.2229545106166482,0.22325614474982206,1.279034885926336,1.2689017065139658,0.9986489324470247,1.0079857875203029,-0.00906380710866983,-0.0394375421738723,,,0,0,0,0,,
2000-02-03,0.0306536726256866,0.0111853476979196,0.24560643374382793,0.2266131366886894,1.3042047996476434,1.2139941842104645,1.083813751191444,1.074308935422,0.0,-0.028693317097518878,,,0,0,0,0,,
2000-02-04,0.0031136270044447,-0.0004211330357219,0.23543308151252465,0.20478913576631336,1.3662426449266938,1.2081601320594657,1.1496365792625804,1.130845662484952,0.0,-0.029102366429506588,,,0,0,0,0,,
2000-02-07,-0.0063499324082755,-9.12760143166444e-05,0.23670514128990655,0.2000882245077597,1.3206723049372842,1.1586397099767762,1.1830038567848193,1.1398472653451137,-0.006349932408275527,-0.029190986095808502,,,0,0,0,0,,
2000-02-08,0.0281062075251746,0.0121984936725935,0.24667768617131572,0.200170412719341,1.2940685533885037,1.110749707137214,1.2323384001669746,1.1650406433360811,0.0,-0.017348578482401567,,,0,0,0,0,,
2000-02-09,0.0088079124323607,-0.0210351170597511,0.23749816533443907,0.21341353208489627,1.347589748394804,1.121542856547072,1.1128542928569398,1.2015499367930258,0.0,-0.038018766162955187,,,0,0,0,0,,
2000-02-10,0.0067695877515416,0.0036202428527764,0.23742304645254192,0.20873063981358983,1.323259819328339,1.1880232257429952,1.1374614031968489,1.1138332910122748,0.0,-0.034536160476651645,,,0,0,0,0,,
2000-02-11,0.0337001651772118,-0.0211922989891896,0.25117155536194496,0.21539007511025382,1.293439636898549,1.1477516371821377,1.1661240901344936,1.1269333843636173,0.0,-0.05499655882708143,,,0,0,0,0,,
2000-02-14,0.0020890946835653,0.0020308868535491,0.2510069149420262,0.21585242260221107,1.369212322947141,1.2105459890044723,1.162863552403118,1.131070058786575,0.0,-0.0530773637618448,,,0,0,0,0,,
2000-02-15,-0.0238399763313637,0.0086749475530797,0.2568591378955799,0.2188436892247731,1.3199346124717588,1.161127492431953,1.173710509110278,1.1367697527402336,-0.0238399763313637,-0.044862859555654944,,,0,0,0,0,,
2000-02-16,0.0057376797831003,-0.0103093728166805,0.25688353220459836,0.2206509789809577,1.3583309087532007,1.1481263311742878,1.1642075344101126,1.1830848852355111,-0.018239082698489506,-0.05470972442755384,,,0,0,0,0,,
2000-02-17,0.0074588267988477,0.0004250581374747,0.2534542794596316,0.2201348947713555,1.3223929501303544,1.1528455358247491,1.151358941629329,1.1470686306507754,-0.010916298058459617,-0.05430792110364602,,,0,0,0,0,,
2000-02-18,0.0033448379878753,-0.030847103081692,0.24924769561067175,0.24279854915660745,1.295123699983259,1.1027766827997474,1.0265617174256858,1.174420642169526,-0.007607973319017192,-0.08347978214490148,,,0,1,0,0,,-0.8814015720534201
2000-02-21,-0.0087461167632626,0.0,0.25350383519171893,0.22484853169708136,1.254759776951479,1.230237629751896,1.1274426978835794,1.0199328541141506,-0.016287549859300032,-0.08347978214490148,,,0,0,0,0,,
2000-02-22,-0.0150718304218321,0.0045066734811152,0.2594462927287575,0.2241814851836618,1.2422780526782715,1.1773130615653526,1.1573047279805684,1.0551807273984894,-0.031113897091665565,-0.07934932478418788,,,0,0,0,0,,
2000-02-23,0.0193041975446061,0.0062811391063376,0.26185389841195156,0.2259529747748039,1.2557095003265282,1.1421552127175232,1.1588867049567653,1.0994210649696428,-0.012410328362899792,-0.07356658982481379,,,0,0,0,0,,
2000-02-24,0.0032435212311661,-0.0053497303162453,0.2591010407178508,0.22620353447461705,1.2794532875950484,1.1187114108810023,1.1454332104917895,1.1436848459313196,-0.009207060295264524,-0.07852275872521053,,,0,0,0,0,,
2000-02-25,0.0270429946582834,-0.0149400893854355,0.2559933892117473,0.21047306878517352,1.239686257835001,1.1005358032976156,1.2162762233159419,1.12643882563424,0.0,-0.09228971107650041,,,0,0,0,0,,
2000-02-28,-0.0178000965800634,0.0109570787459805,0.2582781186014074,0.19278903223638183,1.2967683948130069,1.1362541108690338,1.339693008494012,1.1412661854496684,-0.01780009658006343,-0.08234385796222887,,,0,0,0,0,,
2000-02-29,0.0094840350370561,0.0135350730966457,0.2576859640961768,0.19555637207812573,1.3149190381460971,1.1375528776961907,1.3177068144485211,1.15591904686586,-0.008484878282635444,-0.06992331500216176,,,0,0,0,0,,
2000-03-01,-0.0037493054307947,0.009302114728482,0.25514735644041864,0.19929043463232501,1.295585604290076,1.1522807517001608,1.2802789903647167,1.1243662643661039,-0.01220237131320534,-0.0612716349720257,,,0,0,0,0,,
2000-03-02,0.0135377191574219,0.0018617281349938,0.2396788689421526,0.19437111808610136,1.2612738457069586,1.1433382984045848,1.2330991934510613,1.1031501765198815,0.0,-0.05952397796373643,,,0,0,0,0,,
